Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Cincinnati - OH,146074,146920,147807,148420,149144,149146,149706,150387,150750,151176,151648,152152,152679,153222,153774,154332,154892,155450,156006,156558,157104,157644,158177,158704,159225,159739,160246,160747,161242,161730,162213,162690,163162,163629,164093,164553,165009,165461,165910,166355,166799
Cleveland - OH,137965,138755,139183,139571,139826,139820,139972,140028,140128,140263,140426,140613,140820,141044,141282,141532,141791,142059,142333,142614,142898,143187,143481,143778,144078,144380,144685,144992,145301,145612,145923,146236,146550,146865,147181,147499,147818,148137,148457,148778,149099
Colorado Springs - CO,56738,57020,57294,57585,57808,57974,58056,58421,58638,58901,59201,59531,59886,60261,60652,61056,61471,61895,62326,62762,63203,63648,64096,64546,64999,65454,65911,66369,66828,67289,67750,68211,68674,69137,69601,70065,70529,70995,71460,71926,72393
Columbia - SC,41267,41266,41632,41988,42292,42288,42551,42836,42912,43002,43103,43214,43332,43455,43583,43714,43847,43982,44118,44255,44393,44531,44670,44808,44947,45086,45225,45363,45502,45640,45779,45917,46055,46194,46332,46470,46608,46746,46883,47021,47159
Columbus - OH,223263,224529,225958,227238,228179,229385,230551,231508,232228,233069,234000,234999,236051,237141,238258,239397,240550,241713,242881,244052,245223,246396,247566,248735,249903,251069,252232,253394,254553,255710,256865,258018,259169,260319,261467,262615,263761,264907,266053,267198,268343
Corpus Christi - TX,33365,33364,33743,33741,33739,33737,33752,33783,33825,33877,33936,34001,34071,34146,34223,34303,34386,34470,34555,34642,34729,34817,34906,34996,35086,35176,35267,35358,35449,35540,35631,35723,35815,35907,35999,36091,36183,36275,36368,36460,36553
Dallas-Fort Worth - TX,909351,914500,918168,921775,925451,929317,933468,937696,941703,945292,949298,953630,958212,962982,967888,972889,977947,983034,988128,993213,998276,1003312,1008332,1013341,1018320,1023295,1028244,1033169,1038068,1042943,1047793,1052621,1057429,1062220,1066992,1071747,1076489,1081216,1085948,1090670,1095380
Dayton - OH,52455,52453,52450,52734,52977,52981,53012,53062,53128,53205,53290,53381,53478,53578,53681,53786,53892,53999,54106,54215,54323,54431,54540,54648,54757,54866,54974,55083,55191,55300,55408,55516,55625,55733,55841,55949,56058,56166,56274,56382,56491
Daytona Beach - FL,29895,30364,30619,31120,31321,31680,31739,32138,32279,32446,32635,32839,33057,33284,33519,33760,34005,34254,34505,34757,35010,35265,35519,35774,36030,36285,36540,36796,37051,37306,37561,37815,38070,38324,38579,38833,39087,39341,39596,39850,40104
Denver - CO,316102,318062,319693,321150,322425,323801,325220,326701,328140,329368,330761,332289,333927,335656,337457,339316,341220,343157,345120,347102,349096,351100,353108,355121,357133,359145,361153,363158,365159,367153,369142,371125,373101,375072,377036,378994,380947,382894,384836,386774,388707
Des Moines - IA,60836,60965,61157,61390,61607,62045,62302,62633,62820,63038,63279,63539,63811,64094,64384,64679,64978,65280,65583,65888,66193,66499,66805,67111,67417,67723,68029,68335,68641,68947,69253,69559,69864,70170,70475,70780,71086,71391,71697,72002,72308
Detroit - MI,233455,233948,234283,234660,235130,235178,235252,235366,235568,235838,236161,236527,236924,237346,237789,238244,239153,239626,240104,240583,241064,241545,242026,242507,242988,243468,243947,244425,244902,245379,245854,246328,246802,247274,247746,248217,248688,249158,249628,250098,250568
Durham - NC,64686,65517,66164,67936,68302,69204,70815,71085,71876,72235,72638,73076,73542,74029,74532,75049,75574,76107,76644,77185,77728,78273,78819,79365,79912,80459,81007,81554,82100,82647,83193,83739,84284,84829,85374,85919,86464,87009,87553,88098,88643
East Bay - CA,193561,193900,194173,194454,194741,194943,195197,195260,195416,195646,195933,196265,196631,197027,198003,198439,198889,199349,199819,200294,200775,201260,201749,202239,202733,203228,203724,204220,204718,205217,205716,206214,206713,207212,207711,208210,208710,209210,209709,210209,210708
El Paso - TX,47685,47960,48219,48352,48430,48427,48442,48473,48515,48568,48628,48694,48765,48840,48919,49000,49084,49170,49257,49345,49434,49524,49614,49705,49797,49889,49981,50074,50166,50259,50352,50446,50539,50633,50726,50820,50914,51008,51102,51196,51290
Fayetteville - NC,25526,25885,25884,25954,25952,25950,25967,26000,26044,26096,26155,26220,26288,26360,26435,26511,26589,26667,26747,26826,26907,26987,27068,27149,27229,27310,27391,27472,27552,27633,27714,27794,27875,27955,28036,28116,28196,28277,28357,28437,28518
Flint - MI,20074,20159,20158,20156,20155,20155,20160,20169,20181,20194,20210,20226,20243,20262,20280,20299,20318,20338,20357,20377,20396,20416,20436,20455,20475,20495,20514,20534,20554,20573,20593,20613,20632,20652,20671,20691,20710,20730,20749,20769,20789
Fort Lauderdale - FL,145034,146152,147240,148327,149345,150450,150877,151467,152931,154134,154605,155171,155811,156510,157253,158028,158828,159645,160472,161305,162140,162974,163808,164637,165461,166279,167092,167897,168696,169488,170272,171050,171822,172586,173345,174098,174846,175588,176325,177057,177784
Fort Myers - FL,36945,37900,38939,39950,40146,40530,41136,41733,42465,42770,43114,43487,43883,44297,44726,45165,45612,46065,46522,46982,47444,47907,48371,48836,49301,49766,50232,50697,51162,51627,52091,52556,53020,53483,53947,54411,54874,55337,55801,56264,56728
Fort Wayne - IN,25646,25977,25975,25973,26195,26200,26229,26275,26334,26403,26480,26562,26649,26739,26831,26925,27020,27116,27212,27309,27406,27503,27601,27698,27795,27893,27990,28087,28185,28282,28379,28476,28573,28671,28768,28865,28962,29059,29156,29253,29350
Fresno - CA,56657,56656,56654,56650,56920,56916,56912,56974,56980,56995,57014,57039,57067,57098,57132,57166,57203,57240,57278,57317,57356,57396,57436,57476,57516,57556,57597,57637,57678,57719,57760,57800,57841,57882,57923,57964,58005,58046,58087,58127,58168
Grand Rapids - MI,54353,54350,54537,55125,55273,55426,55579,55689,55830,55994,56558,56754,56960,57173,57392,57616,57842,58069,58299,58529,58759,58990,59221,59452,59684,59915,60146,60377,60609,60840,61070,61301,61532,61763,61993,62224,62455,62685,62916,63147,63378
Greensboro - NC,50659,51462,51784,52017,52228,52564,52596,52656,52737,52834,52943,53063,53190,53323,53461,53602,53746,53892,54039,54187,54336,54485,54635,54784,54934,55084,55234,55383,55533,55683,55832,55981,56131,56280,56429,56578,56727,56876,57024,57173,57322
Greenville - SC,55929,55928,56155,56200,56540,56536,56639,57210,57358,57535,57733,57950,58180,58420,58669,58924,59184,59447,59713,59980,60248,60517,60787,61057,61328,61598,61868,62139,62409,62679,62949,63218,63488,63757,64026,64295,64564,64834,65102,65371,65640
Gulfport-Biloxi-Pascagoula - MS,19119,19118,19118,19116,19114,19113,19115,19192,19199,19207,19217,19229,19240,19253,19266,19279,19293,19306,19320,19334,19348,19362,19377,19391,19405,19419,19433,19447,19461,19475,19489,19503,19517,19531,19545,19559,19573,19587,19601,19615,19629
Harrisburg - PA,33208,33207,33205,33203,33202,33381,33418,33512,33585,33669,33762,33863,33969,34079,34192,34308,34426,34545,34665,34785,34906,35027,35148,35269,35390,35511,35632,35753,35874,35995,36116,36237,36357,36478,36599,36719,36839,36960,37080,37200,37321
Hartford - CT,71251,71251,71537,71816,72070,72400,72587,72585,72623,73207,73326,73472,73639,73824,74022,74230,74444,74665,74889,75116,75346,75576,75807,76039,76270,76501,76732,76963,77193,77422,77651,77880,78108,78336,78563,78789,79015,79241,79467,79693,79918
Honolulu - HI,31403,31403,31403,31403,31403,31403,31402,31401,31410,31432,31462,31498,31538,31581,31627,31674,31724,31775,31826,31878,31931,31983,32036,32089,32141,32194,32246,32297,32349,32400,32450,32500,32550,32600,32649,32697,32745,32793,32839,32886,32931
Houston - TX,733274,734938,736286,737625,739110,740588,742381,744065,745803,747857,750170,752696,755396,758233,761180,764212,767305,770445,773617,776809,780013,783224,786439,789659,792889,796127,799373,802627,805888,809156,812429,815706,818986,822271,825560,828855,832155,835459,838769,842083,845401
Huntsville - AL,48736,49063,49061,49373,49913,50073,50393,50609,50895,51237,51620,52036,52479,52941,53419,53910,54408,54914,55424,55937,56453,56970,57488,58007,58526,59045,59565,60084,60603,61122,61640,62159,62676,63194,63712,64229,64746,65264,65781,66298,66815
Indianapolis - IN,175599,176162,176665,177144,177652,178186,178316,178834,179152,179532,179962,180431,180934,181463,182013,182581,183161,183751,184347,184948,185552,186158,186764,187372,187981,188590,189201,189812,190422,191033,191644,192255,192865,193477,194088,194699,195311,195924,196535,197148,197761
Inland Empire - CA,179955,180623,181332,181909,182383,182849,183603,183955,184095,184293,184538,184821,185135,185474,185833,186209,186598,186996,187402,187814,188230,188650,189073,189497,189924,190352,190780,191209,191638,192067,192497,192927,193357,193787,194216,194647,195077,195506,195936,196366,196794
Jackson - MS,29137,29136,29135,29353,29350,29347,29348,29351,29356,29363,29371,29380,29389,29399,29409,29420,29431,29442,29453,29464,29476,29487,29498,29510,29521,29532,29544,29555,29566,29578,29589,29600,29611,29623,29634,29645,29656,29667,29678,29689,29700
Jacksonville - FL,127260,127357,127547,128230,128954,129777,130589,131409,132062,132748,133466,134211,134980,135767,136567,137374,138184,138992,139797,140597,141390,142177,142959,143734,144504,145269,146030,146786,147538,148285,149029,149769,150506,151240,151972,152701,153429,154153,154877,155598,156318
Kansas City - MO,181516,181992,182927,184351,185617,186818,188049,189226,190354,191392,192414,193327,194249,195178,196113,197050,197990,198932,199873,200813,201752,202691,203627,204562,205496,206429,207359,208287,209214,210139,211062,211983,212904,213823,214740,215657,216572,217486,218400,219312,220223
Killeen - TX,23033,23032,23031,23030,23028,23027,23047,23085,23138,23202,23275,23356,23443,23535,23630,23729,23831,23935,24040,24147,24255,24364,24474,24584,24695,24806,24918,25030,25143,25256,25369,25482,25595,25708,25822,25936,26049,26163,26277,26391,26506
Knoxville - TN,46358,47234,47232,47576,47571,47894,47951,48054,48193,48358,48544,48746,48961,49186,49419,49657,49900,50146,50394,50644,50895,51147,51399,51651,51904,52157,52409,52662,52915,53167,53419,53671,53923,54175,54427,54679,54930,55182,55433,55685,55936
Lafayette - LA,16619,16728,16980,16978,16977,17147,17159,17183,17215,17252,17295,17341,17391,17442,17496,17550,17606,17663,17720,17777,17835,17893,17951,18009,18067,18125,18183,18241,18299,18357,18415,18472,18530,18588,18646,18704,18761,18819,18877,18935,18992
Lakeland - FL,33687,34010,34897,35469,35466,35637,36019,36578,36818,37104,37425,37775,38145,38533,38934,39345,39763,40187,40614,41044,41476,41910,42344,42779,43214,43649,44085,44520,44955,45390,45824,46259,46693,47127,47560,47994,48428,48861,49295,49728,50162
Lancaster - PA,19321,19320,19459,19458,20057,20066,20148,20193,20250,20317,20390,20469,20552,20639,20729,20820,20912,21006,21100,21195,21290,21385,21480,21576,21671,21766,21862,21957,22052,22147,22242,22337,22432,22527,22622,22717,22812,22906,23001,23096,23190
Lansing - MI,31642,31640,31638,31636,31768,31766,31768,31772,31778,31905,31914,31923,31932,31943,31953,31964,31975,31986,31997,32008,32019,32030,32041,32052,32063,32075,32086,32097,32108,32119,32130,32141,32152,32163,32174,32185,32196,32207,32218,32229,32240
Las Vegas - NV,193946,194599,195194,195746,196249,196614,196674,197189,197450,197779,198165,198595,199062,199555,200072,200606,201153,201711,202276,202846,203422,204002,204584,205170,205758,206349,206941,207535,208129,208726,209323,209921,210519,211118,211717,212317,212918,213519,214121,214724,215326
Lehigh Valley - PA,37658,37657,37963,38381,38379,38720,38801,38873,38964,39070,39187,39314,39447,39585,39728,39874,40022,40171,40322,40473,40625,40777,40929,41081,41233,41386,41538,41690,41842,41994,42146,42298,42449,42601,42752,42904,43055,43207,43358,43509,43660
Lexington - KY,39827,39826,39825,39821,39817,39814,39826,39850,39883,39923,39969,40019,40072,40127,40185,40244,40304,40365,40427,40489,40551,40614,40676,40739,40802,40864,40927,40990,41052,41115,41178,41240,41302,41365,41427,41489,41552,41614,41676,41738,41800
Little Rock - AR,54492,54491,54489,54484,54480,54475,54488,54515,54552,54597,54649,54705,54765,54828,54893,54960,55028,55097,55166,55237,55307,55378,55449,55519,55590,55661,55732,55803,55874,55944,56015,56086,56156,56227,56297,56367,56438,56508,56578,56649,56719
Long Island - NY,58891,59031,59220,59392,59662,59860,59858,59856,60310,60377,60478,60607,60759,60929,61114,61311,61518,61732,61952,62177,62405,62636,62869,63104,63339,63574,63810,64046,64282,64518,64754,64990,65226,65462,65696,65930,66165,66399,66632,66865,67098
Los Angeles - CA,1050570,1051707,1052796,1053997,1055168,1055860,1057025,1058046,1059215,1060438,1061668,1063000,1064504,1066003,1067597,1068648,1069769,1071032,1072420,1073911,1075493,1077154,1078882,1080667,1082503,1084383,1086299,1088247,1090223,1092221,1094239,1096272,1098319,1100377,1102446,1104522,1106606,1108695,1110789,1112886,1114985
Louisville - KY,95572,96023,96195,96461,96771,96770,96838,97233,97404,97609,97840,98619,98886,99166,99456,99753,100056,100362,100672,100983,101296,101609,101923,102238,102553,102868,103183,103498,103812,104127,104441,104755,105068,105382,105695,106009,106322,106635,106948,107261,107574
Madison - WI,77513,77889,78129,78445,78439,78921,79348,79949,80275,80655,81075,81527,82002,82494,82999,83514,84034,84560,85088,85618,86150,86682,87215,87748,88281,88815,89348,89881,90414,90946,91479,92011,92543,93075,93607,94139,94671,95203,95735,96267,96799
Manchester - NH,25102,25101,25356,25354,25353,25363,25446,25495,25557,25628,25707,25792,25882,25975,26071,26170,26269,26370,26471,26573,26676,26778,26881,26983,27086,27188,27291,27394,27496,27598,27701,27803,27905,28007,28109,28211,28313,28415,28517,28619,28721
McAllen - TX,21747,21746,21745,21744,21743,21742,21758,21789,21833,21885,21945,22012,22083,22158,22236,22318,22401,22486,22573,22660,22749,22838,22928,23019,23110,23201,23293,23385,23477,23570,23662,23755,23848,23941,24034,24128,24221,24314,24408,24502,24595
Melbourne - FL,31233,31232,31231,31300,31889,31935,31984,32343,32459,32598,32754,32924,33104,33293,33488,33688,33891,34098,34306,34515,34726,34937,35148,35360,35571,35783,35995,36207,36419,36631,36842,37053,37265,37476,37687,37898,38109,38320,38531,38742,38953
Memphis - TN,102674,102722,102718,102766,102921,103005,103097,103175,103259,103350,103450,103558,103674,103799,103931,104068,104211,104357,104506,104659,104814,104972,105132,105295,105460,105625,105794,105964,106136,106307,106481,106655,106829,107005,107182,107360,107537,107716,107895,108076,108256
Miami - FL,203726,206667,208384,210056,211641,211555,212974,215485,217252,218882,220117,221357,222609,223615,224705,225417,225375,225520,225860,226366,227010,227769,228625,229559,230559,231613,232711,233843,235004,236185,237383,238594,239813,241037,242264,243493,244721,245948,247172,248392,249608
Milwaukee - WI,119774,119975,120298,120311,120627,120799,121315,121795,122544,122944,123367,123807,124262,124728,125203,125684,126171,126663,127158,127655,128154,128655,129157,129660,130165,130671,131176,131683,132190,132696,133203,133710,134217,134725,135233,135741,136248,136756,137265,137773,138281
Minneapolis - MN,287117,288101,288789,289675,290562,291242,292233,292944,293829,294840,295944,297118,298342,299605,300897,302208,303536,304874,306220,307573,308931,310292,311657,313026,314397,315768,317142,318519,319897,321275,322655,324036,325418,326800,328183,329567,330953,332340,333727,335115,336504
Mobile - AL,22502,22501,22500,22499,22496,22494,22496,22502,22509,22518,22529,22541,22553,22567,22580,22595,22609,22624,22639,22654,22669,22684,22699,22714,22729,22744,22759,22774,22789,22805,22820,22835,22849,22864,22879,22894,22909,22924,22939,22954,22969
Modesto - CA,16663,16662,16662,16661,16660,16659,16657,16657,16659,16664,16670,16678,16687,16698,16708,16720,16731,16744,16756,16769,16781,16794,16807,16820,16833,16846,16859,16873,16886,16899,16912,16926,16939,16952,16965,16979,16992,17005,17018,17032,17045
Montgomery - AL,21118,21117,21117,21115,21113,21375,21376,21378,21383,21388,21395,21402,21410,21418,21426,21435,21444,21453,21462,21472,21481,21490,21500,21509,21518,21528,21537,21546,21556,21565,21574,21583,21593,21602,21611,21620,21629,21638,21648,21657,21666
Myrtle Beach - SC,29389,29649,29846,29973,29970,30030,30133,30317,30560,30850,31175,31529,31904,32296,32702,33117,33541,33969,34402,34837,35274,35713,36152,36592,37032,37473,37913,38354,38794,39234,39674,40113,40553,40992,41431,41870,42308,42747,43186,43625,44063
Naples - FL,15704,15936,15936,15934,16198,16197,16750,16795,16855,16926,17006,17093,17186,17283,17383,17486,17590,17696,17803,17911,18019,18128,18236,18345,18454,18563,18672,18780,18889,18998,19107,19215,19324,19432,19541,19649,19758,19866,19975,20084,20193
Nashville - TN,182769,184659,186358,188035,189500,191127,193085,194572,195542,196322,197268,198347,199534,200806,202145,203534,204960,206411,207878,209354,210832,212311,213787,215260,216729,218195,219657,221116,222569,224018,225460,226897,228328,229754,231175,232592,234004,235412,236816,238216,239612
New Haven - CT,41100,41332,41548,41828,41902,42221,42281,42430,42547,42683,42833,42995,43165,43343,43525,43712,43902,44093,44286,44479,44674,44868,45063,45258,45453,45648,45843,46038,46233,46427,46622,46816,47010,47204,47398,47592,47786,47980,48174,48367,48561
New Orleans - LA,72453,72470,72434,72400,72625,72890,72886,72920,72987,73080,73194,73326,73471,73626,73790,73961,74136,74315,74496,74678,74862,75047,75232,75418,75605,75792,75980,76167,76355,76543,76731,76920,77110,77300,77490,77680,77871,78062,78253,78445,78637
New York - NY,1593002,1597407,1600146,1603960,1607534,1611799,1615838,1619387,1622820,1626270,1629619,1632966,1636448,1640109,1644014,1647643,1649993,1652693,1655691,1658950,1662431,1666105,1669943,1673923,1678024,1682227,1686517,1690879,1695305,1699781,1704300,1708855,1713439,1718047,1722674,1727317,1731971,1736635,1741306,1745982,1750661
Norfolk - VA,125749,126145,126199,126500,126717,126903,127143,127283,127485,127736,128024,128342,128684,129048,129428,129823,130228,130643,131065,131494,131928,132367,132810,133257,133707,134160,134615,135073,135532,135993,136455,136919,137384,137848,138315,138783,139252,139722,140193,140663,141135
Northern New Jersey - NJ,174922,175945,176908,177993,179068,179951,180752,181518,182339,182703,183113,183597,184143,184741,185380,186055,186756,187480,188222,188978,189746,190521,191304,192093,192885,193680,194477,195274,196071,196867,197662,198455,199245,200035,200821,201604,202385,203163,203940,204714,205486
Northwest Arkansas - AR,44825,45076,45576,45708,45703,46670,46730,47306,48239,48411,48605,48815,49039,49273,49515,49763,50016,50272,50530,50790,51051,51313,51576,51839,52102,52365,52628,52891,53154,53416,53679,53941,54203,54465,54727,54989,55251,55513,55775,56037,56298
Ocala - FL,11755,11754,11982,12041,12040,12926,12961,13025,13109,13209,13322,13444,13574,13709,13850,13994,14140,14288,14438,14589,14740,14892,15044,15196,15349,15501,15653,15806,15958,16110,16263,16415,16567,16719,16871,17022,17174,17326,17478,17630,17781
Ogden - UT,27478,27477,27641,28113,28201,28553,28849,28929,29038,29169,29320,29485,29663,29851,30047,30250,30458,30670,30886,31105,31326,31549,31773,31999,32226,32454,32683,32913,33143,33374,33605,33836,34068,34300,34533,34765,34998,35231,35465,35698,35932
Oklahoma City - OK,101072,101653,101836,102065,102091,102130,102221,102342,102492,102668,102864,103079,103310,103555,103812,104080,104356,104640,104931,105226,105526,105831,106139,106451,106766,107082,107403,107724,108048,108374,108700,109029,109358,109689,110021,110354,110688,111023,111359,111697,112034
Omaha - NE,83262,83784,84609,85008,85549,85773,86353,87343,87697,88042,88425,88835,89267,89715,90174,90642,91116,91594,92074,92556,93040,93524,94008,94493,94978,95463,95948,96433,96918,97402,97886,98370,98854,99338,99822,100306,100789,101273,101757,102241,102725
Orange County - CA,261259,262512,263001,263873,264953,265200,265706,266148,266727,266738,266837,267015,267261,267568,267929,268336,268783,269266,269780,270323,270892,271482,272090,272714,273353,274002,274662,275332,276009,276694,277384,278079,278779,279483,280189,280899,281612,282325,283041,283757,284477
Orlando - FL,234104,236296,238329,240013,241582,243091,244801,246443,247592,248638,249839,251161,252579,254074,255627,257224,258850,260500,262163,263836,265513,267192,268871,270547,272222,273892,275558,277217,278871,280518,282159,283794,285422,287044,288661,290273,291880,293481,295080,296673,298263
Palm Beach - FL,84978,85677,85750,86212,86764,87104,87183,87726,88296,88604,88956,89344,89758,90193,90643,91107,91579,92058,92542,93028,93518,94009,94499,94989,95479,95968,96456,96942,97428,97913,98397,98879,99360,99840,100319,100796,101273,101749,102223,102697,103169
Pensacola - FL,22075,22074,22159,22157,22373,22654,22685,22740,22814,22902,23001,23108,23223,23342,23466,23593,23722,23853,23985,24118,24251,24385,24519,24653,24788,24922,25057,25191,25325,25460,25594,25728,25862,25996,26130,26264,26398,26531,26665,26799,26933
Philadelphia - PA,378978,379949,381402,382585,383811,384794,386074,387280,388402,389269,390253,391331,392482,393690,394940,396223,397528,398849,400180,401518,402860,404205,405553,406900,408248,409596,410941,412284,413626,414964,416299,417632,418961,420289,421612,422932,424250,425562,426873,428181,429486
Phoenix - AZ,418358,421494,423980,426201,428193,429977,431315,432978,434529,436181,438210,439494,440660,442038,443588,445283,447094,449001,450987,453035,455125,457250,459401,461572,463756,465949,468146,470343,472538,474729,476915,479097,481273,483445,485609,487769,489922,492070,494213,496353,498488
