Market,Emp_5YrGrowth,Emp_5YrRank,Emp_10YrGrowth,Emp_10YrRank
Reading - PA,1.2064998308268569,62,1.0489127385318526,126
Reno - NV,1.256656184486373,12,1.324266692280908,8
Richmond - VA,1.181272050805055,95,1.142650160206566,66
Rochester - NY,1.1790770277965037,98,1.0281922926005636,135
Sacramento - CA,1.2051523865569607,63,1.2194638030866491,39
Saint Louis - MO,1.1678094567863664,112,1.0928877045405159,99
Salem - OR,1.1881400882952085,83,1.193759558877868,46
Salinas - CA,1.2239281444322179,39,1.1324196696514253,70
Salisbury - MD,1.2636425124874417,11,1.136877118367879,69
Salt Lake City - UT,1.1967874722402625,71,1.2702700509409697,25
San Antonio - TX,1.2277233166488146,36,1.2293227130017141,35
San Diego - CA,1.221693523808789,42,1.1525312447682756,61
San Francisco - CA,1.135177013474913,135,1.1322832208114844,72
San Jose - CA,1.1365850037074532,134,1.1270704526005058,78
Santa Barbara - CA,1.1881000844964753,84,1.0878073875535779,105
Santa Rosa - CA,1.1920258893816529,77,1.0833474869635862,109
Sarasota - FL,1.253744701922203,16,1.267877393860513,27
Savannah - GA,1.252752450800868,19,1.2228299311015314,36
Scranton - PA,1.2116930860792392,57,1.0610776101453305,118
Seattle - WA,1.1491862725742072,127,1.1579799052973938,57
Shreveport - LA,1.1145815783056814,148,0.9730754667729549,148
Spokane - WA,1.183665881471171,92,1.1856880225959538,51
Springfield - MA,1.1749024968632114,105,1.0363502563053524,131
Springfield - MO,1.1870463761635337,87,1.1666333251355065,55
Stamford - CT,1.2070164784151345,61,1.0035598722949106,145
Stockton - CA,1.2524854092406739,20,1.3435792951868388,5
Syracuse - NY,1.174711167930161,106,1.0317639089636073,133
Tallahassee - FL,1.1974082288295775,70,1.2021588189487191,44
Tampa - FL,1.2281412832155247,35,1.272712626011191,24
Toledo - OH,1.1913544694856786,79,1.0223763329887696,138
Trenton - NJ,1.1777894483295097,102,1.1571704851189957,59
Tucson - AZ,1.1305788971123079,142,1.1199644002734621,81
Tulsa - OK,1.1418060616064454,132,1.0842439854239636,108
Vallejo-Fairfield - CA,1.1685819134219562,110,1.1281184905645794,76
Ventura - CA,1.1778925740906228,101,1.0935438195184242,98
Visalia - CA,1.2211271340671677,44,1.247914208343541,31
Washington - DC,1.1424040847002874,131,1.090771407904707,101
Wichita - KS,1.168076837963748,111,1.0779361888343721,111
Winston-Salem - NC,1.1398900341432654,133,1.0865072627257608,106
Worcester - MA,1.1920821412030196,76,1.079297865375427,110
York - PA,1.214122499418205,55,1.089899009018615,103
Youngstown - OH,1.156421471686983,121,0.9437747380158057,150
