Market,EffRent_5YrGrowth,EffRent_5YrRank,EffRent_10YrGrowth,EffRent_10YrRank
Portland - ME,1.197710568928115,101,1.3628341535503992,110
Portland - OR,1.150996595290396,132,1.3113803938854123,127
Poughkeepsie - NY,1.2337050978401,69,1.4103911058009135,76
Providence - RI,1.2929868312561827,15,1.5131957717165305,23
Provo - UT,1.1496249020437783,134,1.2945029709151257,131
Raleigh - NC,1.1843246883631258,112,1.398577321387779,85
Reading - PA,1.245729916401992,53,1.4700913105412563,48
Reno - NV,1.1520778222081483,130,1.5217275323470592,21
Richmond - VA,1.2398086004922149,60,1.4763303989495444,44
Rochester - NY,1.2736095550460633,29,1.4541198269828581,53
Sacramento - CA,1.1913706691360917,105,1.5929904814369455,8
Saint Louis - MO,1.2077139049390202,91,1.3635349355070918,109
Salem - OR,1.1882237916309641,107,1.5238477373788442,20
Salinas - CA,1.2388946584590168,61,1.6047298660192226,6
Salisbury - MD,1.2481866363624832,51,1.434188266113495,64
Salt Lake City - UT,1.192146634899307,103,1.384280188750339,98
San Antonio - TX,1.1218115346323094,141,1.2521323164074945,140
San Diego - CA,1.2461640213091834,52,1.4762679542574249,45
San Francisco - CA,1.0673302590478146,148,1.118869218521332,150
San Jose - CA,1.1361133144173103,140,1.2173242892335485,146
Santa Barbara - CA,1.254326527240144,46,1.5010551099471672,31
Santa Rosa - CA,1.139154484601466,138,1.327577453449221,122
Sarasota - FL,1.236738663104101,64,1.3990868724492251,84
Savannah - GA,1.310695975873918,8,1.5050894984020597,30
Scranton - PA,1.2427907171025796,56,1.47526483903703,47
Seattle - WA,1.1531846280092026,129,1.363647368379256,108
Shreveport - LA,1.244154769152887,55,1.36447048008192,107
Spokane - WA,1.1870403260555749,109,1.4348793799883612,62
Springfield - MA,1.2527739534668223,48,1.453691769753789,54
Springfield - MO,1.2404149528732946,59,1.414002917311219,73
Stamford - CT,1.2015836000932776,96,1.319756519860182,125
Stockton - CA,1.1695744688750287,123,1.5004384575257994,32
Syracuse - NY,1.2615041116541859,41,1.4199414158004018,72
Tallahassee - FL,1.2889069717463122,19,1.5537889794335855,15
Tampa - FL,1.3051191675614284,11,1.5760522197737834,11
Toledo - OH,1.2200261870409215,79,1.4022685427325565,80
Trenton - NJ,1.2699733994409201,35,1.4290330934829543,66
Tucson - AZ,1.2605998105324354,42,1.6113213625736535,5
Tulsa - OK,1.272479581721579,31,1.393130964592526,92
Vallejo-Fairfield - CA,1.1510705005256585,131,1.4779831807756076,43
Ventura - CA,1.2673180943468012,38,1.5116807666624124,27
Visalia - CA,1.2125917115858893,86,1.4580428126933234,51
Washington - DC,1.1862088850695813,111,1.2995051795427048,130
Wichita - KS,1.2110900345655158,87,1.320412485260649,124
Winston-Salem - NC,1.2833809153406304,25,1.577487994163115,10
Worcester - MA,1.2536307993163212,47,1.4577530680398907,52
York - PA,1.2350131401833284,67,1.436664774520883,60
Youngstown - OH,1.2706455590559806,32,1.3698302398243636,103
