Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4,2036 Q1,2036 Q2
Baton Rouge - LA,44677,44675,44758,45091,45092,45121,45168,45228,45298,45374,45455,45540,45628,45717,45807,45898,45989,46079,46169,46258,46347,46436,46524,46611,46698,46785,46872,46958,47044,47131,47217,47303,47388,47474,47559,47644,47729,47814,47898,47982,48067
Beaumont - TX,19040,19039,19038,19037,19037,19041,19047,19053,19061,19068,19077,19086,19095,19104,19113,19122,19131,19141,19150,19160,19170,19180,19189,19199,19209,19219,19230,19240,19250,19260,19271,19281,19292,19302,19313,19324,19335,19346,19357,19368,19379
Birmingham - AL,68265,68263,68549,68546,68646,68694,68773,68875,68992,69121,69257,69400,69548,69698,69849,70002,70154,70306,70458,70609,70759,70908,71057,71205,71352,71499,71646,71792,71939,72085,72232,72378,72524,72670,72815,72960,73105,73250,73395,73539,73684
Boise - ID,44873,45136,45292,45300,45379,45537,46256,46448,46658,46881,47114,47355,47603,47856,48111,48368,48624,48878,49131,49382,49630,49877,50122,50365,50607,50847,51086,51323,51558,51792,52024,52255,52484,52711,52936,53160,53382,53603,53822,54039,54254
Boston - MA,300835,303180,304708,308167,310263,311794,313279,314188,316232,317958,319209,320379,321552,322778,324042,325336,326652,327982,329321,330668,332017,333369,334721,336072,337423,338771,340117,341459,342798,344134,345465,346793,348116,349435,350751,352063,353372,354676,355978,357275,358569
Brownsville-Harlingen - TX,11188,11187,11393,11392,11393,11399,11406,11415,11424,11435,11445,11456,11468,11479,11491,11502,11514,11526,11538,11551,11563,11576,11589,11602,11615,11628,11642,11655,11669,11682,11696,11710,11724,11738,11752,11767,11781,11796,11811,11825,11840
Buffalo - NY,49711,50097,50146,50145,50744,50795,50965,50997,51040,51093,51153,51219,51289,51363,51439,51518,51598,51679,51760,51842,51925,52007,52090,52173,52256,52338,52421,52504,52587,52670,52753,52836,52918,53001,53084,53167,53249,53332,53415,53498,53581
Canton - OH,12869,12868,12867,12867,12866,12866,12867,12869,12872,12875,12879,12883,12887,12891,12896,12900,12905,12910,12914,12919,12924,12928,12933,12937,12942,12947,12951,12956,12960,12964,12969,12973,12978,12982,12986,12990,12995,12999,13003,13007,13011
Charleston - SC,75576,76520,77281,77815,78144,78271,78476,78735,79033,79359,79705,80066,80439,80818,81202,81588,81974,82358,82741,83121,83500,83876,84251,84624,84996,85366,85734,86102,86470,86838,87205,87572,87938,88302,88666,89029,89391,89753,90114,90474,90833
Charlotte - NC,253562,256456,259080,261416,263835,265123,266849,267841,269318,270618,272008,273519,275126,276807,278542,280312,282100,283898,285700,287499,289295,291088,292876,294658,296434,298202,299964,301718,303467,305208,306943,308672,310397,312117,313832,315543,317250,318954,320653,322350,324043
Chattanooga - TN,30837,30896,31125,31144,31271,31308,32047,32126,32217,32317,32423,32534,32648,32763,32881,32998,33116,33234,33351,33468,33584,33700,33816,33931,34046,34161,34275,34389,34504,34618,34732,34847,34961,35075,35189,35303,35417,35531,35645,35759,35873
Chicago - IL,576009,577694,579407,580168,581024,582694,584160,585492,586996,588415,589494,590671,591847,593067,594277,595444,596602,597765,598931,600097,601263,602429,603593,604755,605916,607074,608230,609384,610535,611684,612832,613978,615121,616263,617403,618541,619678,620813,621947,623078,624210
Cincinnati - OH,150502,150918,151100,151868,152518,152756,153123,153547,153763,153994,154257,154931,155239,155562,155895,156235,156578,156925,157271,157617,157962,158306,158649,158991,159333,159672,160012,160351,160688,161025,161363,161700,162036,162372,162708,163043,163378,163712,164046,164379,164711
Cleveland - OH,141304,141301,142135,142494,142759,142853,142990,143019,143075,143155,143257,143378,143517,143670,143836,144012,144198,144390,144587,144790,144997,145207,145418,145632,145847,146065,146285,146505,146726,146949,147172,147396,147620,147846,148072,148299,148527,148755,148983,149213,149442
Colorado Springs - CO,59315,59313,59875,60509,60676,60738,60879,61281,61510,61766,62044,62339,62649,62969,63296,63627,63960,64292,64625,64956,65286,65616,65945,66274,66602,66930,67257,67583,67909,68235,68560,68885,69210,69534,69857,70179,70501,70822,71142,71461,71779
Columbia - SC,41920,42093,42092,42410,42949,42990,43060,43260,43364,43478,43870,43996,44126,44258,44392,44527,44661,44796,44930,45063,45196,45329,45462,45594,45725,45857,45988,46119,46251,46382,46514,46645,46777,46908,47039,47171,47302,47434,47565,47697,47829
Columbus - OH,232281,233531,235555,237075,238416,239782,240971,241771,242624,243689,244838,245798,246895,247937,249001,250081,251169,252261,253353,254444,255530,256612,257689,258762,259829,260891,261949,263002,264052,265097,266138,267176,268212,269245,270274,271303,272328,273351,274373,275393,276411
Corpus Christi - TX,34082,34081,34152,34150,34151,34163,34183,34209,34239,34273,34309,34347,34387,34428,34469,34511,34554,34596,34639,34682,34725,34768,34811,34854,34898,34941,34984,35028,35072,35115,35159,35203,35247,35291,35334,35379,35423,35467,35511,35555,35599
Dallas-Fort Worth - TX,939203,944082,949583,953298,956931,959311,963241,967448,971338,975880,980062,984396,988617,993297,998044,1002902,1007489,1012103,1016522,1020898,1025234,1029542,1033825,1038089,1042338,1046572,1050793,1055001,1059199,1063387,1067567,1071740,1075907,1080070,1084227,1088380,1092527,1096668,1100803,1104929,1109047
Dayton - OH,53170,53518,53956,53954,54224,54417,54466,54532,54609,54696,54790,54888,54990,55095,55203,55311,55419,55527,55633,55739,55843,55946,56048,56149,56249,56348,56446,56543,56638,56733,56827,56920,57012,57103,57193,57282,57371,57458,57545,57631,57715
Daytona Beach - FL,31166,31841,31840,32651,32656,32957,33054,33176,33316,33469,33631,33801,33975,34154,34335,34516,34697,34878,35057,35236,35413,35589,35764,35938,36111,36283,36455,36626,36797,36967,37138,37307,37477,37645,37813,37981,38148,38314,38480,38645,38809
Denver - CO,324375,326265,328314,329370,331418,332954,334170,335673,337172,338642,340217,341876,343411,345140,346770,348476,350081,351679,353266,354841,356407,357966,359521,361071,362618,364163,365704,367243,368781,370316,371850,373383,374914,376445,377974,379501,381027,382552,384074,385597,387117
Des Moines - IA,64698,64725,64850,65358,65844,66075,66164,66313,66442,66591,66754,66928,67111,67300,67493,67690,67889,68088,68288,68486,68684,68881,69078,69273,69467,69660,69852,70043,70233,70422,70610,70797,70982,71167,71351,71534,71715,71896,72076,72255,72434
Detroit - MI,235831,236104,236312,236677,237045,237035,237116,237105,237182,237238,237334,237377,237443,237532,237641,237769,237912,238069,238239,238418,238607,238804,239009,239221,239438,239660,239888,240118,240352,240590,240831,241073,241318,241565,241814,242065,242317,242570,242825,243079,243335
Durham - NC,65340,65701,66499,67800,68418,69207,69420,69836,70148,70488,70850,71228,71617,72013,72414,72817,73219,73621,74021,74419,74815,75209,75602,75992,76382,76769,77156,77542,77928,78314,78700,79085,79469,79853,80236,80618,80999,81380,81760,82140,82519
East Bay - CA,193282,193701,193921,193917,193972,194106,194718,194938,195150,195379,196179,196431,196689,196952,197217,197483,197751,198018,198285,198553,198820,199087,199354,199621,199887,200154,200419,200685,200950,201215,201479,201744,202008,202273,202538,202802,203066,203330,203594,203858,204121
El Paso - TX,47801,47935,47933,47930,47932,47954,47983,48020,48061,48106,48155,48205,48257,48310,48364,48419,48475,48531,48587,48644,48701,48758,48816,48874,48933,48992,49051,49110,49170,49230,49290,49351,49412,49473,49534,49596,49657,49720,49782,49845,49907
Fayetteville - NC,25660,25803,26115,26114,26114,26128,26153,26187,26226,26269,26314,26362,26410,26460,26510,26560,26610,26661,26711,26761,26812,26862,26912,26963,27013,27063,27113,27163,27213,27264,27314,27365,27416,27467,27518,27569,27620,27671,27723,27775,27826
Flint - MI,20352,20351,20767,20766,20765,20765,20769,20778,20789,20803,20818,20835,20854,20873,20893,20913,20934,20955,20976,20998,21020,21043,21065,21088,21110,21133,21156,21179,21203,21226,21250,21273,21297,21321,21345,21369,21393,21417,21442,21467,21491
Fort Lauderdale - FL,148826,148828,150120,151545,152977,153761,153764,154128,154258,154438,154658,154910,155189,155489,155807,156139,156482,156833,157191,157552,157917,158282,158650,159018,159388,159758,160129,160499,160869,161238,161606,161974,162341,162708,163074,163438,163803,164166,164529,164890,165251
Fort Myers - FL,41673,42302,42301,42556,42992,43111,43299,44027,44675,44971,45285,45614,45952,46297,46647,46998,47349,47699,48046,48391,48734,49075,49415,49752,50087,50421,50754,51086,51418,51749,52079,52409,52737,53065,53391,53717,54041,54364,54686,55007,55327
Fort Wayne - IN,26555,26554,26856,26855,26864,26884,26923,26975,27037,27107,27182,27261,27343,27428,27515,27602,27689,27777,27863,27949,28035,28119,28203,28286,28368,28450,28531,28611,28690,28769,28848,28925,29002,29079,29155,29230,29305,29379,29452,29525,29597
Fresno - CA,59357,59355,59354,59443,59454,59474,59500,59530,59564,59600,59637,59676,59716,59757,59798,59840,59882,59923,59964,60006,60047,60087,60128,60169,60209,60249,60289,60329,60369,60408,60447,60486,60525,60564,60602,60640,60678,60716,60753,60790,60827
Grand Rapids - MI,55874,56217,56511,56677,56843,56955,57665,57752,57861,57985,58123,58269,58424,58583,58747,58914,59082,59252,59423,59595,59766,59939,60111,60284,60457,60631,60804,60978,61152,61326,61500,61675,61850,62025,62200,62375,62551,62727,62903,63080,63257
Greensboro - NC,51932,52483,52642,52679,52945,53211,53548,53661,53792,53936,54090,54249,54413,54580,54748,54917,55087,55256,55425,55594,55763,55931,56100,56267,56435,56602,56770,56937,57105,57273,57441,57610,57778,57947,58116,58285,58455,58624,58795,58965,59136
Greenville - SC,57013,57012,57010,57056,57571,57917,58233,58366,58521,58691,58872,59061,59254,59451,59650,59849,60049,60249,60449,60649,60849,61049,61249,61449,61648,61847,62046,62246,62446,62647,62848,63050,63252,63454,63656,63859,64063,64267,64472,64678,64885
Gulfport-Biloxi-Pascagoula - MS,19653,19652,19651,19650,19721,19861,19868,19877,19889,19901,19915,19929,19943,19958,19972,19987,20002,20017,20031,20046,20061,20076,20091,20106,20121,20136,20151,20166,20181,20196,20211,20226,20241,20257,20272,20287,20303,20318,20334,20350,20365
Harrisburg - PA,33724,33723,33762,33779,33941,33940,33951,33972,34001,34035,34075,34118,34163,34211,34260,34310,34361,34411,34461,34511,34560,34609,34657,34704,34751,34797,34842,34887,34932,34975,35018,35061,35103,35145,35186,35226,35266,35306,35345,35383,35421
Hartford - CT,73300,73831,74158,74285,74282,74797,75171,75253,75457,75578,75712,75857,76010,76169,76331,76495,76662,76828,76995,77161,77327,77491,77656,77819,77981,78142,78300,78458,78615,78772,78927,79082,79235,79388,79539,79690,79840,79991,80140,80289,80437
Honolulu - HI,30025,30024,30024,30024,30025,30026,30027,30029,30031,30034,30037,30041,30045,30050,30055,30061,30067,30073,30080,30087,30095,30102,30110,30118,30127,30136,30145,30153,30162,30172,30181,30191,30201,30211,30221,30232,30242,30253,30263,30274,30285
Houston - TX,743949,746874,749378,750999,752322,754784,756752,758482,760203,762270,764397,767059,769773,772427,775176,777974,780782,783578,786353,789110,791855,794596,797339,800087,802842,805603,808368,811137,813912,816691,819474,822264,825060,827862,830668,833480,836295,839112,841931,844751,847571
Huntsville - AL,50420,50419,51672,52223,52232,52350,52543,52788,53071,53380,53710,54053,54406,54765,55129,55494,55860,56225,56588,56950,57310,57669,58027,58383,58738,59092,59445,59798,60150,60503,60856,61209,61561,61912,62263,62614,62964,63314,63664,64014,64363
Indianapolis - IN,179388,179927,181153,181934,182291,182787,183244,183587,183947,184346,184780,185244,185734,186244,186768,187299,187831,188359,188883,189404,189921,190435,190948,191461,191973,192485,192996,193507,194016,194527,195038,195548,196058,196568,197077,197587,198095,198603,199111,199618,200125
Inland Empire - CA,183133,183845,184776,185476,185732,186114,186179,186309,186474,186673,186899,187146,187410,187687,187972,188265,188561,188860,189159,189458,189758,190056,190354,190651,190947,191243,191537,191830,192120,192411,192700,192989,193276,193563,193848,194133,194417,194700,194982,195264,195544
Jackson - MS,28585,28804,28802,28801,28799,28814,28816,28819,28824,28828,28834,28839,28845,28851,28857,28862,28868,28874,28880,28886,28892,28899,28905,28911,28917,28924,28930,28936,28943,28950,28956,28963,28970,28977,28984,28991,28998,29005,29012,29020,29027
Jacksonville - FL,128627,129208,130055,130210,130666,131300,131635,132008,132407,132828,133269,133730,134210,134706,135211,135720,136227,136730,137228,137723,138215,138707,139198,139691,140186,140682,141179,141679,142179,142682,143186,143690,144195,144701,145209,145716,146224,146734,147242,147751,148258
Kansas City - MO,185424,186249,187199,188012,189231,189511,190479,191454,192021,192649,193324,194037,194777,195539,196316,197104,197899,198697,199496,200296,201095,201892,202689,203483,204276,205067,205856,206644,207430,208216,208999,209781,210562,211342,212121,212898,213675,214450,215223,215995,216764
Killeen - TX,23810,23809,23808,24107,24115,24161,24215,24277,24346,24419,24495,24575,24655,24737,24820,24904,24990,25076,25164,25252,25342,25433,25525,25618,25712,25806,25902,25998,26096,26194,26292,26392,26492,26593,26695,26798,26901,27006,27111,27217,27324
Knoxville - TN,48883,49256,49474,49779,50129,50420,50543,50700,50881,51080,51290,51510,51736,51967,52201,52435,52670,52904,53137,53368,53598,53828,54056,54283,54509,54735,54959,55184,55408,55633,55857,56080,56304,56526,56749,56971,57192,57413,57634,57854,58074
Lafayette - LA,16784,17071,17071,17070,17071,17089,17120,17245,17293,17345,17401,17459,17519,17579,17640,17702,17764,17825,17887,17948,18010,18071,18132,18193,18254,18315,18376,18437,18498,18559,18620,18682,18743,18805,18866,18928,18990,19052,19114,19176,19239
Lakeland - FL,36873,37160,37447,37446,37455,37564,38069,38284,38532,38802,39089,39389,39697,40013,40332,40652,40972,41291,41608,41923,42236,42548,42857,43165,43471,43776,44079,44383,44685,44987,45289,45590,45890,46189,46487,46784,47080,47375,47669,47962,48254
Lancaster - PA,20806,20805,20805,21025,21072,21124,21141,21172,21215,21266,21324,21387,21454,21525,21597,21671,21745,21819,21893,21966,22039,22111,22182,22253,22322,22391,22459,22526,22592,22658,22723,22787,22850,22913,22974,23036,23096,23156,23215,23274,23332
Lansing - MI,31739,31738,31737,31869,31868,31872,32225,32241,32261,32283,32307,32333,32360,32388,32417,32446,32475,32504,32533,32562,32591,32620,32648,32677,32705,32733,32762,32790,32818,32845,32873,32901,32928,32955,32982,33010,33037,33064,33090,33117,33144
Las Vegas - NV,196616,196961,197488,198692,199161,199531,199631,199992,200183,200428,200719,201046,201405,201790,202194,202613,203042,203480,203923,204372,204824,205278,205736,206194,206654,207116,207578,208042,208505,208968,209432,209897,210362,210826,211291,211756,212221,212687,213153,213618,214084
Lehigh Valley - PA,39145,39188,39559,40494,40609,40608,40737,40793,40869,40961,41065,41179,41301,41428,41559,41692,41828,41964,42100,42236,42371,42506,42640,42773,42905,43036,43166,43296,43424,43552,43678,43804,43929,44053,44176,44298,44420,44541,44661,44781,44900
Lexington - KY,40405,40403,40670,40699,40749,41049,41084,41130,41183,41241,41303,41367,41434,41502,41570,41639,41708,41777,41845,41913,41981,42049,42117,42184,42251,42318,42385,42452,42519,42586,42653,42720,42786,42853,42920,42987,43053,43120,43187,43254,43321
Little Rock - AR,55401,55481,55479,55476,55675,55816,55856,55908,55968,56034,56105,56179,56254,56332,56410,56489,56567,56646,56724,56802,56879,56957,57034,57111,57187,57264,57340,57416,57493,57569,57645,57722,57798,57874,57950,58026,58103,58179,58255,58331,58407
Long Island - NY,60849,60966,61075,61301,61406,61560,61784,62056,62167,62227,62298,62380,62470,62568,62671,62780,62894,63011,63132,63257,63383,63511,63640,63771,63903,64035,64168,64301,64436,64570,64704,64839,64974,65108,65243,65377,65512,65646,65780,65914,66048
Los Angeles - CA,1064616,1066658,1069384,1071734,1073585,1075172,1076969,1078468,1080002,1081539,1083018,1084092,1085047,1086087,1087200,1088372,1089590,1090845,1092130,1093443,1094776,1096130,1097503,1098890,1100291,1101704,1103127,1104559,1106000,1107447,1108902,1110362,1111827,1113297,1114772,1116250,1117734,1119220,1120712,1122205,1123702
Louisville - KY,98808,98925,99850,100028,100337,100427,100771,101178,101421,101689,101974,102271,102575,102885,103197,103511,103826,104140,104455,104770,105085,105399,105714,106028,106342,106655,106969,107283,107598,107915,108232,108549,108867,109186,109505,109825,110146,110468,110791,111116,111442
Madison - WI,82499,82564,82906,83772,85555,86018,86492,87001,87702,88131,88596,89090,89605,90135,90677,91226,91778,92329,92878,93423,93964,94500,95033,95562,96087,96607,97124,97637,98145,98650,99151,99648,100141,100630,101116,101598,102077,102552,103024,103492,103957
Manchester - NH,26202,26201,26201,26200,26320,26319,26332,26355,26386,26424,26467,26514,26564,26616,26671,26726,26783,26840,26898,26955,27013,27071,27128,27186,27243,27301,27358,27415,27471,27528,27585,27641,27697,27753,27809,27865,27921,27976,28032,28087,28142
McAllen - TX,22125,22124,22248,22247,22252,22280,22315,22358,22406,22457,22512,22569,22627,22687,22747,22808,22870,22932,22995,23059,23123,23187,23253,23318,23385,23451,23518,23586,23654,23722,23791,23860,23929,23999,24070,24140,24212,24283,24355,24427,24500
Melbourne - FL,33412,33729,33728,33727,34027,34275,34379,34633,34854,35021,35199,35385,35575,35770,35967,36165,36362,36560,36756,36952,37146,37340,37534,37726,37918,38109,38299,38489,38680,38870,39060,39251,39440,39630,39819,40008,40196,40385,40573,40761,40949
Memphis - TN,102669,102656,102643,102938,103129,103216,103295,103368,103450,103541,103638,103743,103852,103965,104082,104201,104319,104440,104559,104676,104792,104905,105018,105129,105240,105347,105457,105564,105672,105779,105887,105996,106104,106213,106321,106431,106540,106649,106757,106866,106975
Miami - FL,211482,212097,212871,214870,217435,220068,221063,221450,222034,223033,223843,224479,225501,226040,226602,227182,227772,228368,228966,229566,230163,230757,231348,231937,232522,233101,233677,234249,234818,235381,235941,236497,237050,237600,238147,238691,239233,239774,240312,240847,241381
Milwaukee - WI,122424,122695,123171,123667,124237,124801,125592,126191,126644,127111,127585,128059,128531,128999,129461,129916,130364,130806,131243,131673,132097,132517,132933,133345,133752,134157,134559,134960,135358,135755,136150,136542,136934,137325,137714,138102,138489,138875,139260,139643,140026
Minneapolis - MN,288573,290509,291432,291969,293084,293891,294599,295269,296313,297262,298200,299083,300041,300968,301911,302864,303822,304783,305748,306713,307680,308646,309612,310580,311547,312514,313480,314446,315411,316375,317339,318303,319265,320226,321185,322143,323101,324057,325012,325964,326915
Mobile - AL,22500,22499,22498,22497,22496,22503,22515,22530,22547,22566,22587,22608,22630,22653,22675,22698,22721,22744,22767,22789,22811,22834,22856,22878,22899,22921,22943,22965,22986,23008,23029,23051,23072,23093,23115,23136,23157,23178,23199,23220,23241
Modesto - CA,16512,16511,16511,16510,16826,16833,16842,16852,16864,16876,16889,16902,16915,16929,16943,16957,16971,16986,17000,17013,17027,17041,17055,17069,17082,17096,17110,17123,17136,17150,17163,17176,17189,17203,17215,17228,17241,17254,17267,17279,17292
Montgomery - AL,20767,20784,21047,21046,21237,21241,21249,21259,21270,21283,21296,21311,21325,21340,21355,21370,21385,21401,21416,21431,21446,21461,21476,21491,21506,21520,21535,21550,21565,21580,21595,21610,21625,21640,21655,21670,21685,21700,21715,21730,21745
Myrtle Beach - SC,21284,21283,21283,21282,21285,21316,21367,21432,21507,21588,21675,21765,21858,21953,22049,22145,22241,22338,22433,22528,22623,22717,22810,22904,22996,23089,23181,23273,23364,23456,23548,23639,23731,23822,23912,24003,24093,24183,24273,24363,24453
Naples - FL,16263,16262,16914,17325,17327,17355,17400,17456,17533,17604,17680,17759,17841,17924,18007,18092,18176,18260,18344,18427,18510,18592,18674,18755,18836,18917,18997,19078,19158,19238,19318,19398,19478,19558,19637,19716,19795,19874,19952,20031,20109
Nashville - TN,190433,192127,193792,195412,196872,197387,198323,199315,199883,200501,201090,201776,202553,203400,204301,205237,206194,207160,208129,209100,210075,211053,212033,213018,214006,214998,215992,216988,217986,218987,219990,220996,222004,223014,224025,225038,226053,227068,228085,229103,230119
New Haven - CT,41579,41976,41975,42034,42285,42355,42467,42514,42578,42656,42744,42841,42944,43052,43165,43279,43396,43514,43632,43750,43869,43987,44105,44223,44340,44457,44574,44690,44806,44922,45037,45152,45266,45380,45494,45608,45721,45834,45946,46059,46171
New Orleans - LA,63940,64176,64162,64278,64293,64326,64371,64426,64489,64558,64634,64715,64803,64894,64989,65086,65186,65287,65390,65493,65598,65703,65808,65913,66019,66125,66231,66336,66443,66549,66655,66762,66868,66976,67084,67191,67299,67408,67516,67625,67733
New York - NY,1506172,1512179,1516873,1522565,1528297,1531259,1533803,1538208,1540835,1544750,1548077,1551634,1555476,1559097,1562848,1566767,1570282,1573783,1576840,1579888,1582920,1585934,1588926,1591897,1594845,1597769,1600671,1603550,1606407,1609242,1612058,1614854,1617634,1620395,1623141,1625873,1628589,1631294,1633985,1636666,1639334
Norfolk - VA,127295,127417,128416,128604,128601,128835,128990,129130,129310,129517,129745,129992,130253,130525,130807,131095,131388,131685,131985,132286,132589,132894,133200,133507,133815,134124,134433,134744,135056,135368,135680,135992,136305,136619,136933,137247,137562,137876,138190,138502,138814
Northern New Jersey - NJ,161384,163511,164705,165252,166011,166392,167395,167738,168163,168402,168698,169040,169422,169836,170274,170732,171204,171685,172172,172664,173159,173655,174151,174647,175143,175637,176132,176623,177113,177602,178089,178574,179057,179536,180015,180491,180966,181439,181910,182380,182848
Northwest Arkansas - AR,48224,48950,49158,49156,49359,50537,50684,51214,51877,52120,52378,52647,52924,53204,53488,53773,54059,54344,54630,54915,55200,55484,55769,56053,56336,56619,56902,57186,57470,57755,58041,58327,58613,58900,59187,59474,59762,60051,60341,60632,60923
Ocala - FL,11738,11737,11962,11961,11963,11992,12042,12106,12181,12263,12351,12441,12535,12630,12725,12822,12918,13015,13111,13207,13303,13400,13496,13591,13687,13783,13878,13974,14070,14166,14262,14359,14455,14552,14649,14745,14843,14940,15038,15136,15234
Ogden - UT,28002,28437,28460,28514,29121,29515,29593,29696,29818,29953,30099,30254,30416,30582,30752,30924,31097,31271,31445,31618,31791,31965,32138,32311,32485,32658,32832,33005,33179,33352,33525,33699,33872,34045,34219,34392,34565,34738,34911,35083,35255
Oklahoma City - OK,102206,102503,102734,102709,102684,102893,102929,102987,103072,103180,103309,103456,103620,103797,103986,104184,104388,104596,104806,105020,105236,105454,105674,105897,106123,106349,106577,106808,107041,107274,107509,107745,107982,108220,108459,108699,108939,109181,109422,109664,109906
Omaha - NE,87273,88436,88836,89538,89836,90295,90870,91364,91679,92034,92419,92827,93253,93692,94140,94593,95049,95505,95959,96411,96860,97306,97750,98191,98630,99065,99499,99929,100357,100783,101206,101627,102045,102461,102875,103286,103695,104102,104507,104910,105311
Orange County - CA,263269,263862,263912,264178,264774,265109,265495,265502,265959,266046,266169,266324,266523,266765,267040,267343,267669,268015,268379,268758,269151,269555,269972,270397,270830,271269,271716,272168,272625,273086,273551,274020,274492,274966,275440,275916,276394,276874,277355,277836,278317
Orlando - FL,243628,244840,246388,247889,249243,250682,251823,252581,253139,253859,254711,255672,256920,258161,259330,260519,261728,262948,264173,265400,266628,267853,269079,270303,271526,272746,273964,275180,276394,277606,278815,280022,281227,282431,283630,284828,286025,287219,288411,289601,290787
Palm Beach - FL,84812,85262,86026,87442,88617,89736,90178,90339,90877,91105,91355,91623,91904,92194,92492,92793,93097,93400,93702,94004,94303,94599,94894,95186,95475,95761,96046,96328,96608,96886,97160,97433,97704,97972,98240,98505,98768,99029,99289,99545,99801
Pensacola - FL,22695,22990,22990,23270,23486,23630,23802,23962,24037,24119,24207,24298,24392,24488,24585,24683,24780,24877,24974,25070,25165,25260,25354,25448,25541,25634,25727,25819,25911,26003,26095,26187,26278,26370,26460,26551,26641,26731,26821,26910,26999
Philadelphia - PA,386422,387175,388568,389799,391025,391796,392413,393427,394192,394904,395651,396445,397279,398144,399031,399935,400846,401762,402677,403593,404506,405420,406335,407251,408169,409087,410005,410922,411839,412757,413673,414588,415503,416416,417328,418237,419144,420049,420953,421854,422752
Phoenix - AZ,436883,440035,442782,446281,449109,451012,453781,455862,457632,459231,460962,462788,464680,466612,468563,470515,472454,474374,476274,478153,480013,481856,483685,485500,487304,489096,490879,492653,494420,496178,497930,499676,501418,503154,504887,506615,508340,510062,511780,513495,515207
