Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Baton Rouge - LA,69397.1796875,70113.4921875,70832.7890625,71618.0,72376.9296875,73127.46875,73924.6015625,74693.6875,75467.6015625,76321.171875,77170.2265625,78017.703125,78846.390625,79596.453125,80344.9296875,81100.25,81874.7734375,82671.3515625,83475.9375,84273.390625,85061.71875,85841.2578125,86606.8125,87368.0,88120.296875,88870.9609375,89623.0234375,90374.3828125,91131.109375,91883.78125,92636.8828125,93399.2421875,94158.9921875,94916.75,95666.640625,96409.0625,97154.8984375,97908.046875,98668.46875,99428.6875,100187.953125
Beaumont - TX,68727.890625,69244.3828125,69871.5703125,70597.1015625,71347.25,72129.9609375,72969.9765625,73841.5078125,74743.1328125,75710.09375,76689.328125,77662.5234375,78629.6875,79556.2578125,80487.5234375,81426.8515625,82387.9765625,83372.1171875,84368.7265625,85367.8828125,86370.0703125,87376.4609375,88383.9765625,89395.6015625,90407.90625,91423.3515625,92445.1796875,93472.703125,94509.34375,95549.0390625,96593.453125,97655.171875,98717.546875,99781.2265625,100839.0,101879.640625,102921.1171875,103966.171875,105016.890625,106070.1796875,107125.5703125
Birmingham - AL,69977.6171875,70522.4765625,71088.9921875,71715.53125,72330.03125,72950.8828125,73632.2734375,74326.59375,75040.0703125,75840.078125,76645.03125,77442.796875,78225.21875,78934.0390625,79640.15625,80350.796875,81080.2734375,81831.6796875,82591.953125,83345.71875,84090.953125,84828.75,85555.6171875,86281.109375,87004.0390625,87729.296875,88458.9375,89190.3828125,89927.6015625,90662.3671875,91398.640625,92145.921875,92891.296875,93636.2109375,94375.4375,95110.4765625,95851.8984375,96602.90625,97363.703125,98126.78125,98890.859375
Boise - ID,85866.5703125,86552.171875,87273.890625,88071.6875,88858.0,89656.5703125,90535.796875,91442.671875,92375.078125,93408.953125,94441.7734375,95452.5390625,96437.7578125,97328.1328125,98213.046875,99104.3125,100013.8984375,100946.7421875,101888.4375,102823.6875,103751.65625,104672.2109375,105578.7109375,106478.8828125,107373.6875,108270.2265625,109173.5625,110083.0078125,111001.84375,111919.21875,112839.21875,113772.1796875,114702.7421875,115635.109375,116562.890625,117488.7734375,118424.421875,119372.6796875,120333.8515625,121298.6484375,122265.9609375
Boston - MA,115776.7890625,116833.71875,117961.8828125,119133.703125,120279.5234375,121427.9765625,122659.2578125,123935.421875,125253.75,126697.9296875,128154.34375,129594.96875,131009.7421875,132323.84375,133634.125,134958.21875,136308.375,137687.59375,139076.296875,140451.484375,141813.796875,143162.5625,144491.171875,145811.703125,147119.765625,148423.78125,149729.796875,151035.921875,152349.1875,153658.578125,154969.015625,156290.78125,157609.53125,158928.984375,160241.4375,161546.890625,162861.203125,164188.609375,165529.765625,166879.15625,168232.265625
Brownsville-Harlingen - TX,51570.9296875,51954.26953125,52366.5703125,52875.4609375,53403.1484375,53957.78125,54566.91015625,55175.08984375,55804.37890625,56497.8203125,57199.78125,57899.05859375,58588.26953125,59229.69140625,59871.23828125,60518.01953125,61181.26953125,61863.140625,62554.83984375,63244.9609375,63933.75,64621.37109375,65303.3203125,65986.28125,66668.421875,67352.9609375,68043.2578125,68737.828125,69440.2578125,70143.921875,70851.2734375,71573.6796875,72294.6015625,73014.109375,73726.2890625,74422.796875,75118.796875,75817.2890625,76519.5390625,77220.2265625,77919.71875
Buffalo - NY,77042.1796875,77607.6875,78163.140625,78822.1015625,79481.7734375,80163.046875,80915.0625,81675.6328125,82463.890625,83337.3671875,84217.828125,85088.7734375,85943.390625,86730.5625,87517.6328125,88313.28125,89128.5625,89964.6171875,90809.078125,91646.7890625,92477.2265625,93301.15625,94114.078125,94925.9296875,95735.109375,96545.84375,97361.578125,98178.140625,99000.3203125,99820.5234375,100641.09375,101474.0,102303.6796875,103131.640625,103951.9921875,104759.28125,105569.3671875,106385.2421875,107207.7890625,108030.0390625,108851.1796875
Canton - OH,71200.078125,71538.3984375,71925.921875,72433.15625,72953.359375,73504.75,74126.75,74806.1484375,75522.171875,76319.1796875,77131.0703125,77925.203125,78708.3203125,79436.9765625,80163.9609375,80894.8203125,81643.0078125,82410.8125,83183.703125,83949.2578125,84706.75,85456.2734375,86198.71875,86940.9609375,87682.3203125,88427.3203125,89177.21875,89930.3828125,90689.3984375,91446.859375,92206.2890625,92977.8671875,93747.1328125,94514.3984375,95273.9765625,96019.078125,96764.453125,97512.7734375,98264.890625,99015.9921875,99764.4921875
Charleston - SC,86701.2578125,87152.34375,87653.0078125,88212.0234375,88773.75,89357.953125,90016.703125,90761.5234375,91554.4765625,92446.21875,93362.0703125,94261.328125,95152.2890625,95984.5703125,96814.21875,97645.4765625,98493.1796875,99360.78125,100236.7109375,101107.1171875,101970.6328125,102827.7734375,103674.9296875,104525.7734375,105378.203125,106237.6875,107106.28125,107976.4765625,108850.9765625,109722.203125,110593.8203125,111476.8984375,112357.4921875,113236.2578125,114106.359375,114958.90625,115811.640625,116667.25,117526.84375,118387.4609375,119246.9765625
Charlotte - NC,84465.2421875,85153.1875,85901.671875,86702.796875,87476.6171875,88243.7578125,89066.0078125,89919.3125,90794.0625,91739.6328125,92688.3671875,93613.859375,94514.09375,95345.140625,96166.453125,96993.1328125,97838.15625,98703.6875,99577.78125,100446.8125,101309.7265625,102166.28125,103012.15625,103856.7890625,104698.203125,105540.6015625,106386.609375,107232.1328125,108082.25,108931.6484375,109783.09375,110645.8984375,111508.03125,112370.15625,113226.25,114073.4921875,114925.0,115783.578125,116650.796875,117522.3984375,118396.2890625
Chattanooga - TN,74103.0390625,74796.09375,75503.578125,76287.4609375,77053.2265625,77816.90625,78622.5234375,79387.1796875,80151.5,80984.2890625,81813.03125,82642.0703125,83451.2734375,84188.6328125,84922.328125,85663.9296875,86424.6484375,87206.2109375,87995.9609375,88780.0,89556.328125,90326.671875,91087.21875,91846.3984375,92603.4609375,93362.9921875,94127.7109375,94894.8984375,95668.15625,96439.03125,97211.828125,97996.828125,98779.2734375,99560.609375,100334.6328125,101100.6875,101871.09375,102648.5625,103434.359375,104220.359375,105006.28125
Chicago - IL,90188.78125,90997.0078125,91849.3671875,92749.890625,93628.1484375,94510.6171875,95450.8203125,96439.3203125,97466.8984375,98582.9765625,99715.5625,100838.6171875,101951.390625,103008.46875,104066.8828125,105133.140625,106218.1484375,107324.1875,108438.8125,109547.34375,110652.046875,111751.96875,112840.6484375,113925.9375,115004.328125,116080.296875,117158.640625,118237.3828125,119322.7109375,120408.171875,121496.6484375,122597.7890625,123696.84375,124794.5625,125885.8515625,126962.0078125,128040.609375,129124.28125,130214.609375,131308.796875,132404.109375
Cincinnati - OH,81486.1796875,82077.203125,82725.109375,83431.7734375,84130.203125,84840.7734375,85608.4296875,86410.1171875,87236.65625,88140.71875,89054.1484375,89957.6015625,90848.5390625,91679.4921875,92508.609375,93342.2109375,94194.0390625,95065.0078125,95942.953125,96814.25,97676.453125,98531.09375,99374.6015625,100214.78125,101050.9375,101889.2734375,102732.2265625,103578.3984375,104430.7265625,105281.1875,106133.2578125,106995.953125,107856.453125,108716.0703125,109569.828125,110414.34375,111263.3671875,112119.2734375,112982.6484375,113848.4921875,114714.2265625
Cleveland - OH,71740.9296875,72317.0078125,72939.421875,73630.8515625,74316.0078125,75006.7421875,75738.0234375,76465.890625,77206.40625,78009.0625,78816.6015625,79625.078125,80421.40625,81165.0078125,81907.09375,82655.390625,83421.5390625,84206.5078125,84999.609375,85787.59375,86569.2265625,87344.2578125,88108.5390625,88872.15625,89632.640625,90395.2890625,91162.7265625,91931.046875,92703.921875,93475.4296875,94248.796875,95032.2734375,95814.171875,96594.78125,97369.1796875,98130.8515625,98894.5,99662.6328125,100435.78125,101210.8828125,101985.7578125
Colorado Springs - CO,89203.171875,89951.4609375,90762.1796875,91629.703125,92500.5078125,93391.859375,94351.3984375,95354.46875,96393.8203125,97512.7265625,98645.0234375,99762.8125,100866.8125,101913.609375,102957.96875,104006.3984375,105071.8125,106155.9609375,107248.46875,108339.40625,109429.5625,110521.1328125,111608.953125,112698.6015625,113787.7578125,114880.0,115978.1875,117081.0,118191.859375,119304.421875,120422.1328125,121558.2265625,122695.1171875,123831.75,124962.796875,126075.2265625,127189.1171875,128307.2734375,129430.8203125,130555.59375,131681.0625
Columbia - SC,69277.640625,69641.109375,70068.25,70545.390625,71032.8671875,71546.9375,72119.3125,72763.3515625,73447.046875,74197.6171875,74970.7734375,75732.859375,76495.1875,77226.9375,77958.578125,78689.5625,79430.40625,80183.4375,80940.7578125,81694.40625,82444.7421875,83192.546875,83934.7734375,84678.03125,85419.5703125,86162.21875,86909.578125,87659.703125,88414.9921875,89171.3203125,89930.921875,90702.78125,91474.40625,92244.78125,93008.7890625,93755.453125,94501.53125,95249.09375,95999.296875,96749.96875,97500.3984375
Columbus - OH,81449.25,82086.6328125,82770.671875,83514.6171875,84250.5078125,84991.90625,85781.0390625,86565.1015625,87362.203125,88230.578125,89101.421875,89969.78125,90821.03125,91606.71875,92388.4765625,93175.109375,93978.96875,94801.359375,95629.8125,96450.4296875,97261.421875,98063.5703125,98852.03125,99633.859375,100408.4609375,101181.0625,101956.671875,102734.890625,103519.2890625,104302.421875,105087.1015625,105882.3984375,106675.1328125,107466.546875,108251.7421875,109027.7578125,109808.390625,110596.140625,111391.5234375,112187.859375,112984.40625
Corpus Christi - TX,67244.8671875,67963.9921875,68706.15625,69537.7890625,70365.0390625,71199.5234375,72086.703125,72927.203125,73771.328125,74697.2265625,75620.7421875,76548.25,77458.2578125,78288.546875,79118.6484375,79958.1796875,80818.09375,81701.34375,82593.953125,83481.640625,84362.6796875,85238.6484375,86105.7890625,86971.8828125,87835.546875,88702.109375,89574.578125,90451.0703125,91336.9296875,92223.0234375,93112.53125,94019.09375,94925.1015625,95831.3828125,96731.6796875,97624.7109375,98523.4921875,99431.9375,100350.1484375,101268.9375,102188.1875
Dallas-Fort Worth - TX,89352.2109375,90180.078125,90992.15625,91819.5,92605.8828125,93387.453125,94256.84375,95169.9609375,96111.21875,97179.640625,98248.1796875,99281.3203125,100280.8671875,101160.078125,102029.609375,102906.703125,103802.578125,104725.34375,105653.5078125,106567.0390625,107465.8125,108348.6796875,109210.2109375,110061.5390625,110901.9296875,111739.2421875,112577.1484375,113413.921875,114255.7109375,115091.1796875,115925.359375,116768.7890625,117608.5625,118448.2109375,119282.0703125,120119.2578125,120966.6796875,121828.9375,122704.3671875,123582.3671875,124460.65625
Dayton - OH,72045.359375,72388.15625,72779.1484375,73271.4296875,73778.7109375,74316.453125,74920.953125,75562.0703125,76233.78125,76983.46875,77746.9375,78500.9375,79245.90625,79937.421875,80628.6328125,81323.9296875,82036.2265625,82767.25,83505.1171875,84236.6328125,84960.0,85675.96875,86380.9609375,87083.3125,87782.2578125,88482.25,89187.2421875,89895.2890625,90609.1328125,91322.46875,92037.8828125,92766.0078125,93491.8515625,94215.140625,94930.7734375,95630.9296875,96332.65625,97038.1484375,97747.90625,98456.46875,99162.8125
Daytona Beach - FL,73430.3984375,73889.9609375,74377.171875,74971.28125,75562.046875,76167.5625,76834.3828125,77520.6171875,78235.109375,79029.0078125,79832.71875,80625.96875,81404.5703125,82123.546875,82841.359375,83563.359375,84303.15625,85063.546875,85834.2265625,86602.140625,87368.75,88133.90625,88894.078125,89656.84375,90419.71875,91186.203125,91957.9375,92732.359375,93513.046875,94294.09375,95078.46875,95879.3671875,96679.15625,97477.1328125,98267.4375,99038.359375,99808.53125,100579.890625,101354.1796875,102127.8515625,102900.0234375
Denver - CO,103781.4921875,104986.59375,106181.2890625,107366.9609375,108506.9375,109628.140625,110814.5390625,112015.6875,113235.4375,114559.6875,115880.15625,117178.40625,118443.6328125,119603.9921875,120755.6015625,121913.1875,123091.2890625,124295.453125,125508.453125,126713.421875,127908.75,129093.9375,130263.9921875,131428.296875,132585.40625,133742.546875,134902.734375,136063.90625,137231.84375,138396.734375,139563.515625,140743.0625,141921.28125,143101.125,144276.796875,145452.484375,146639.28125,147840.671875,149057.75,150281.15625,151508.6875
Des Moines - IA,86234.09375,87051.2890625,87914.1796875,88802.6484375,89654.609375,90485.9921875,91339.84375,92148.0703125,92947.953125,93797.6328125,94636.421875,95476.390625,96295.34375,97049.828125,97799.03125,98552.7578125,99321.609375,100106.2734375,100896.65625,101680.53125,102456.359375,103225.6484375,103983.1171875,104736.6171875,105483.9609375,106230.109375,106978.359375,107727.4296875,108481.453125,109232.3515625,109983.8125,110743.15625,111499.0703125,112253.8125,113002.6796875,113743.8203125,114488.140625,115238.5234375,115995.078125,116752.390625,117509.7109375
Detroit - MI,78000.609375,78683.90625,79387.96875,80153.546875,80904.4921875,81656.671875,82468.9375,83283.671875,84110.578125,85017.8515625,85936.546875,86852.7890625,87758.6796875,88597.4765625,89428.328125,90259.2578125,91104.421875,91966.9296875,92835.90625,93696.640625,94548.1484375,95392.7890625,96227.859375,97063.859375,97896.7265625,98729.9765625,99565.0390625,100398.953125,101236.8515625,102073.328125,102914.4375,103772.4296875,104631.9609375,105493.578125,106348.859375,107193.15625,108041.4765625,108896.5390625,109759.34375,110623.2734375,111486.8828125
Durham - NC,86115.1484375,86804.5703125,87566.1171875,88382.75,89184.453125,89985.4609375,90838.3671875,91725.2890625,92642.5,93627.6796875,94626.9375,95621.21875,96603.296875,97535.1171875,98460.78125,99388.6796875,100333.9375,101301.34375,102282.4296875,103262.0078125,104239.53125,105212.8984375,106174.53125,107132.21875,108082.9609375,109030.8828125,109981.9609375,110933.8671875,111891.640625,112850.21875,113811.4921875,114784.859375,115757.8203125,116730.0703125,117695.7578125,118644.2265625,119592.96875,120545.359375,121503.7265625,122466.421875,123431.578125
East Bay - CA,136185.6875,137760.703125,139365.65625,140978.3125,142530.421875,144053.09375,145654.96875,147277.90625,148937.8125,150756.4375,152579.53125,154379.125,156122.828125,157710.265625,159277.265625,160861.625,162495.84375,164186.46875,165902.984375,167610.0,169302.234375,170979.515625,172632.875,174276.515625,175905.734375,177530.0625,179157.234375,180787.625,182430.890625,184073.5,185720.296875,187383.921875,189046.515625,190712.65625,192375.234375,194040.8125,195723.625,197429.1875,199157.03125,200896.125,202642.734375
El Paso - TX,60315.03125,60888.69140625,61479.8515625,62168.75,62865.41015625,63576.08984375,64335.8203125,65064.62109375,65801.8515625,66603.15625,67406.796875,68214.890625,69011.1875,69750.3125,70489.3203125,71235.96875,71998.8828125,72781.9921875,73574.4921875,74364.4375,75151.453125,75935.40625,76712.21875,77488.2578125,78262.953125,79039.6328125,79821.5234375,80607.53125,81400.3671875,82193.640625,82990.0234375,83800.703125,84610.5234375,85420.453125,86224.1171875,87016.0234375,87810.390625,88609.9375,89415.8828125,90221.5234375,91027.078125
Fayetteville - NC,67295.9765625,67612.859375,68011.9296875,68606.7265625,69233.1484375,69892.3828125,70611.4609375,71362.9765625,72148.5078125,72983.0703125,73835.0390625,74682.828125,75529.890625,76357.046875,77187.28125,78017.140625,78855.7734375,79703.7421875,80556.96875,81409.671875,82265.96875,83127.4921875,83982.7265625,84839.390625,85692.40625,86543.7421875,87404.15625,88268.9296875,89142.6328125,90020.609375,90903.671875,91805.2890625,92707.328125,93607.28125,94497.3125,95357.15625,96212.7734375,97067.6171875,97924.0625,98776.5625,99626.7109375
Flint - MI,67751.0234375,68191.2421875,68664.671875,69326.359375,69999.5703125,70696.3984375,71467.71875,72259.109375,73073.296875,73963.8984375,74868.7421875,75767.8203125,76660.0625,77498.046875,78333.3671875,79171.3828125,80026.53125,80903.03125,81788.8984375,82670.1171875,83547.2890625,84421.6484375,85291.2890625,86165.75,87042.5,87923.8671875,88812.21875,89704.3125,90603.2734375,91504.4296875,92411.828125,93340.1875,94271.046875,95201.7734375,96124.1171875,97025.421875,97926.0078125,98829.3515625,99736.8671875,100643.5078125,101549.2109375
Fort Lauderdale - FL,78429.3984375,78918.7734375,79483.7890625,80178.59375,80892.6015625,81629.640625,82424.9296875,83211.140625,84022.8984375,84907.1796875,85804.7109375,86708.9609375,87607.5,88459.4609375,89313.8125,90173.7578125,91046.4609375,91934.140625,92826.953125,93713.3828125,94595.078125,95470.703125,96335.65625,97196.6171875,98048.6875,98896.671875,99744.4296875,100590.6484375,101442.8515625,102295.203125,103150.2890625,104016.6875,104882.78125,105749.609375,106612.953125,107464.578125,108319.1484375,109179.3515625,110046.65625,110919.0390625,111794.8671875
Fort Myers - FL,82645.4296875,83313.9765625,83950.2109375,84673.578125,85370.2421875,86060.2578125,86820.546875,87600.0234375,88410.390625,89330.3984375,90262.2578125,91183.28125,92085.90625,92900.5,93707.71875,94516.453125,95340.3671875,96186.609375,97042.28125,97891.1171875,98733.2890625,99567.953125,100389.40625,101206.5390625,102017.0625,102827.3203125,103641.34375,104457.4921875,105280.8671875,106101.953125,106924.5390625,107760.4609375,108594.1015625,109427.4375,110253.8515625,111065.15625,111877.2734375,112694.296875,113516.4375,114339.75,115162.65625
Fort Wayne - IN,69651.4921875,70209.71875,70799.6015625,71471.1015625,72139.4296875,72818.1171875,73546.328125,74276.9765625,75021.8203125,75839.171875,76660.7421875,77476.15625,78274.8828125,79009.5703125,79743.2890625,80486.2578125,81250.3203125,82037.4921875,82834.0390625,83624.3984375,84409.5078125,85190.890625,85965.3828125,86742.8515625,87519.390625,88300.0078125,89086.15625,89876.21875,90673.2109375,91469.421875,92269.359375,93082.90625,93896.25,94710.75,95520.9921875,96324.09375,97132.6484375,97948.640625,98772.25,99596.6171875,100421.1328125
Fresno - CA,77683.703125,78352.59375,78982.859375,79748.3125,80517.40625,81299.25,82145.9296875,82985.1328125,83841.9375,84787.7578125,85739.328125,86685.7109375,87611.6484375,88460.2421875,89307.40625,90164.6484375,91047.171875,91958.09375,92881.0703125,93796.90625,94705.7890625,95609.8984375,96502.8984375,97395.7109375,98285.6484375,99176.546875,100073.25,100974.96875,101884.8203125,102794.8984375,103708.796875,104637.7734375,105565.6328125,106491.8203125,107410.390625,108315.203125,109223.609375,110140.2421875,111065.0390625,111989.40625,112913.0625
Grand Rapids - MI,82903.3515625,83695.328125,84487.7578125,85322.28125,86125.7578125,86917.3984375,87766.3515625,88613.9609375,89469.6875,90415.828125,91373.59375,92334.046875,93286.421875,94160.0703125,95021.75,95875.4609375,96736.6328125,97611.71875,98489.828125,99358.953125,100217.3671875,101068.09375,101908.4765625,102746.8984375,103580.796875,104413.640625,105247.09375,106079.6796875,106916.75,107751.7421875,108591.8671875,109448.3515625,110307.171875,111170.671875,112030.8203125,112886.3125,113749.9296875,114622.9375,115504.71875,116388.1484375,117271.03125
Greensboro - NC,65387.3984375,65789.3984375,66237.890625,66787.9296875,67339.6796875,67905.40625,68525.53125,69169.4921875,69838.8984375,70566.296875,71303.2890625,72035.0625,72759.421875,73445.71875,74134.1171875,74826.671875,75533.7109375,76257.1015625,76988.4296875,77718.4765625,78446.953125,79174.1171875,79896.25,80618.8515625,81340.0,82061.7109375,82786.578125,83513.15625,84244.8203125,84977.1484375,85711.5703125,86458.46875,87203.65625,87946.6875,88682.7734375,89401.2421875,90118.3515625,90836.8984375,91558.109375,92279.078125,92999.6328125
Greenville - SC,71331.75,71681.171875,72088.9921875,72572.109375,73069.2734375,73594.28125,74176.46875,74829.390625,75523.3828125,76283.59375,77066.5703125,77837.828125,78605.8984375,79342.2421875,80077.5234375,80814.8515625,81567.078125,82335.9609375,83113.453125,83889.2734375,84662.3125,85433.6328125,86200.3125,86968.9765625,87737.90625,88509.15625,89285.96875,90066.3515625,90852.671875,91641.53125,92434.3984375,93240.9609375,94047.7265625,94853.0625,95651.9296875,96430.96875,97208.0703125,97985.546875,98764.8828125,99545.640625,100325.578125
Gulfport-Biloxi-Pascagoula - MS,60461.96875,61075.7109375,61751.2109375,62522.171875,63283.19140625,64036.53125,64806.62890625,65506.1796875,66195.03125,66921.7890625,67645.640625,68385.2421875,69116.6796875,69804.4765625,70494.6171875,71194.1171875,71910.9296875,72647.578125,73392.8515625,74135.75,74876.6328125,75616.421875,76349.84375,77084.3984375,77818.046875,78552.7421875,79293.7265625,80037.8515625,80787.296875,81537.6328125,82290.7265625,83057.5078125,83823.703125,84588.34375,85345.8828125,86088.15625,86831.03125,87577.6796875,88329.4296875,89080.78125,89831.6171875
Harrisburg - PA,79106.359375,79936.78125,80771.6796875,81675.5625,82558.5390625,83433.5234375,84337.1484375,85189.578125,86039.203125,86936.203125,87829.40625,88725.15625,89604.6875,90430.21875,91252.8515625,92081.421875,92926.0625,93789.1015625,94658.90625,95523.0234375,96381.171875,97233.6484375,98075.25,98914.046875,99748.7890625,100583.7890625,101424.2734375,102268.75,103119.9296875,103971.7265625,104827.2734375,105695.7734375,106563.15625,107429.0703125,108288.203125,109133.03125,109980.21875,110833.203125,111692.3828125,112551.640625,113411.359375
Hartford - CT,94515.3984375,95213.7109375,95907.1796875,96665.1171875,97421.421875,98204.09375,99078.96875,100040.1796875,101057.1015625,102185.8984375,103333.4921875,104458.6328125,105566.578125,106605.03125,107646.3671875,108695.2265625,109768.453125,110865.6171875,111971.28125,113067.7421875,114155.3828125,115234.2734375,116299.109375,117360.4921875,118414.9609375,119469.3515625,120527.1015625,121586.4609375,122652.7421875,123717.4609375,124783.6484375,125861.90625,126937.203125,128009.7421875,129074.75,130125.5625,131179.78125,132240.484375,133309.6875,134381.90625,135455.09375
