Market,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1
Birmingham - AL,1158272.0,1159673.0,1160957.0,1162247.0,1163576.0,1164766.0,1165988.0,1167181.0,1168233.0,1169265.0,1170450.0,1171548.0,1172642.0,1173698.0,1174859.0,1175979.0,1177039.0,1178154.0,1179121.0,1180002.0,1180631.0,1181776.0,1181641.0,1181342.0,1181184.0,1181650.0,1181080.0,1180917.0,1180683.0,1180786.0,1181505.0,1182383.0,1183403.0,1184290.0,1186474.0,1188600.0,1190634.0,1192870.0,1195085.0,1197120.0
Boise - ID,672885.625,675849.9375,679992.6875,684138.5,688305.75,692389.5625,696986.3125,701564.0625,706056.375,710534.625,715324.8125,720060.4375,724792.0,729498.75,734521.125,739516.75,744472.75,749461.125,754637.0625,759759.375,764718.0,770223.0,776855.75,783378.4375,789992.375,797026.0,800368.6875,803985.4375,807554.375,811355.0,814571.875,817898.9375,821324.0,824657.0,829327.8125,833909.4375,838465.0625,842984.625,847406.125,851698.5
Boston - MA,4755417.0,4764851.0,4774255.0,4783672.0,4793119.0,4802488.0,4811999.0,4821498.0,4830917.0,4840329.0,4849738.0,4859100.0,4868466.0,4877816.0,4886986.0,4896139.0,4905259.0,4914421.0,4923573.0,4932678.0,4941632.0,4933650.0,4926422.0,4918510.0,4911188.0,4906460.0,4904133.0,4903492.0,4902560.0,4903026.0,4906410.0,4910460.0,4915096.0,4919179.0,4929508.0,4940334.0,4951758.0,4963147.0,4973974.0,4984511.0
Brownsville-Harlingen - TX,418246.40625,418231.8125,418588.09375,418946.40625,419318.125,419639.3125,419723.5,419796.375,419818.59375,419833.3125,419738.5,419612.09375,419483.875,419342.1875,419534.90625,419712.8125,419869.125,420044.3125,420419.09375,420763.3125,421017.0,421480.0,421732.09375,421925.5,422169.1875,422636.0,423078.09375,423665.40625,424227.59375,424911.0,425475.40625,426011.1875,426426.90625,426710.0,426835.125,426759.40625,426651.40625,426588.71875,426501.71875,426396.6875
Buffalo - NY,1152809.0,1153572.0,1154312.0,1155054.0,1155800.0,1156528.0,1157283.0,1158034.0,1158767.0,1159496.0,1160228.0,1160948.0,1161668.0,1162383.0,1163046.0,1163705.0,1164355.0,1165013.0,1165661.0,1166298.0,1166902.0,1164468.0,1164407.0,1164184.0,1164100.0,1164631.0,1162848.0,1161464.0,1160012.0,1158890.0,1157914.0,1157096.0,1156415.0,1155604.0,1154679.0,1153667.0,1152528.0,1151456.0,1150635.0,1150205.0
Canton - OH,405713.59375,405492.1875,405245.59375,405000.875,404769.1875,404489.0,404175.0,403850.1875,403476.40625,403095.40625,402979.0,402832.21875,402683.59375,402522.0,402396.90625,402257.90625,402098.125,401956.6875,401877.40625,401769.0,401574.0,401224.0,401006.0,400732.09375,400506.28125,400492.0,400117.0,399879.5,399618.1875,399471.0,399418.5,399420.1875,399469.59375,399474.0,399259.1875,399088.09375,398930.3125,398763.21875,398620.3125,398485.09375
Charleston - SC,735334.125,739489.8125,743138.3125,746785.8125,750452.5625,754024.75,757228.8125,760408.875,763492.6875,766558.3125,769329.875,772039.9375,774742.625,777416.3125,780614.9375,783781.9375,786903.8125,790056.5625,793348.5625,796579.875,799636.0,803475.0,806241.5,808894.875,811644.125,814823.0,818460.1875,822377.6875,826246.375,830352.0,835007.0,839774.625,844643.0,849417.0,852080.0,854399.75,856573.8125,858974.9375,861363.25,863690.4375
Charlotte - NC,2410508.0,2422073.0,2434822.0,2447579.0,2460411.0,2472944.0,2485469.0,2497926.0,2510076.0,2522176.0,2532795.0,2543220.0,2553630.0,2563953.0,2574641.0,2585236.0,2595693.0,2606262.0,2617248.0,2628045.0,2638274.0,2647614.0,2656865.0,2665744.0,2674938.0,2685549.0,2696529.0,2708433.0,2720176.0,2732699.0,2744963.0,2757598.0,2770563.0,2783218.0,2794535.0,2805494.0,2816125.0,2827124.0,2837841.0,2848301.0
Chattanooga - TN,544827.0625,545403.0625,546393.375,547385.6875,548394.875,549337.5625,550203.9375,551055.0,551838.6875,552611.875,553639.375,554624.5,555606.3125,556569.1875,557333.125,558076.875,558791.3125,559530.25,560637.0625,561702.8125,562647.0,563952.0,564776.125,565521.4375,566333.9375,567446.0,569029.4375,570807.9375,572552.5,574461.0,576011.75,577640.375,579338.1875,580971.0,581389.25,581755.8125,582147.1875,582604.1875,583210.375,583852.8125
Chicago - IL,9666900.0,9669293.0,9669094.0,9668941.0,9669098.0,9668096.0,9668343.0,9668329.0,9667146.0,9665787.0,9663530.0,9660543.0,9657509.0,9654158.0,9650611.0,9646726.0,9642339.0,9638387.0,9632926.0,9626754.0,9618502.0,9604412.0,9583724.0,9561708.0,9540842.0,9525011.0,9502680.0,9483618.0,9463992.0,9447064.0,9441618.0,9437453.0,9434414.0,9430312.0,9428250.0,9426726.0,9425518.0,9424519.0,9423351.0,9421392.0
Cincinnati - OH,2173168.0,2176041.0,2179251.0,2182474.0,2185769.0,2188804.0,2192373.0,2195886.0,2199135.0,2202346.0,2205282.0,2208053.0,2210817.0,2213510.0,2216733.0,2219881.0,2222916.0,2226052.0,2229000.0,2231789.0,2234099.0,2236268.0,2236195.0,2235810.0,2235692.0,2236756.0,2237524.0,2239061.0,2240465.0,2242509.0,2245421.0,2248638.0,2252124.0,2255356.0,2257949.0,2260763.0,2263643.0,2266450.0,2269257.0,2272004.0
Cleveland - OH,2085481.875,2085629.875,2085893.125,2086166.0,2086504.875,2086595.0,2087372.125,2088093.0,2088562.0,2088992.0,2089241.0,2089333.0,2089416.0,2089430.875,2089565.0,2089626.0,2089580.125,2089628.875,2089419.875,2089060.0,2088251.0,2086620.125,2083042.0,2079175.0,2075558.125,2073035.875,2070093.0,2067861.125,2065506.125,2063741.0,2063052.0,2062644.0,2062481.875,2062086.875,2061969.0,2061958.0,2062023.0,2062073.0,2062054.875,2061943.125
Colorado Springs - CO,697055.5,699847.4375,703692.375,707541.3125,711413.5,715200.625,718482.3125,721745.625,724921.875,728085.0,731240.875,734342.25,737440.3125,740514.5625,742892.0,745243.6875,747556.875,749904.1875,751727.5,753497.0,755105.0,757128.0,758337.6875,759441.5,760635.625,762232.0,762809.5625,763649.1875,764443.4375,765456.0,766197.875,767043.5625,767981.0,768832.0,770787.75,772775.8125,774754.375,776810.9375,778882.0,780911.6875
Columbia - SC,800871.6875,802983.1875,804560.125,806139.0,807741.5,809245.0,810770.375,812272.25,813673.8125,815058.3125,816423.875,817726.0625,819022.5625,820290.5,821625.4375,822929.8125,824189.5625,825484.6875,826914.125,828282.0,829470.0,830137.0,831981.0,833708.625,835535.25,837804.0,840129.5,842743.0,845306.5,848112.0,850546.0625,853095.25,855746.5625,858302.0,859308.4375,859970.5,860691.375,861584.25,862592.5625,863659.3125
Columbus - OH,2026470.0,2032922.0,2039121.0,2045332.0,2051607.875,2057638.0,2065388.875,2073086.875,2080533.0,2087940.875,2093395.0,2098692.0,2103979.0,2109198.0,2114069.0,2118866.0,2123554.0,2128337.0,2132122.0,2135753.0,2138926.0,2141895.0,2142966.0,2143738.0,2144765.0,2146927.0,2150068.0,2153947.0,2157698.0,2162066.0,2166329.0,2170884.0,2175700.0,2180271.0,2186793.0,2193422.0,2200153.0,2206838.0,2213507.0,2220060.0
Corpus Christi - TX,448236.375,449133.78125,449340.3125,449548.71875,449771.09375,449939.3125,449659.78125,449368.28125,449022.625,448669.09375,447979.875,447257.375,446533.59375,445795.8125,445638.3125,445465.21875,445269.1875,445093.40625,445370.40625,445614.8125,445763.0,446171.0,446481.5,446729.71875,447031.1875,447569.0,447202.90625,446990.5,446751.5,446640.0,447181.21875,447692.40625,448077.40625,448323.0,448789.625,449227.5,449724.21875,450286.71875,450762.09375,451162.8125
Dallas-Fort Worth - TX,7065418.0,7102696.0,7140131.0,7177591.0,7215272.0,7252075.0,7287348.0,7322421.0,7356596.0,7390625.0,7420290.0,7449387.0,7478442.0,7507243.0,7535426.0,7563338.0,7590848.0,7618690.0,7649444.0,7679646.0,7708190.0,7737680.0,7764686.0,7790601.0,7817439.0,7848417.0,7889858.0,7934000.0,7977670.0,8023630.0,8064320.0,8104482.0,8142364.0,8177699.0,8208599.5,8236478.5,8262940.5,8289368.0,8315549.0,8341644.5
Dayton - OH,804351.0,804209.6875,804716.125,805226.8125,805763.625,806204.25,806733.0,807240.75,807650.875,808046.875,808607.3125,809107.125,809603.5625,810074.0,810837.8125,811573.625,812267.8125,812999.1875,813446.5,813835.0625,814049.0,814209.0,814036.0625,813749.875,813561.0,813802.0,813286.5,813050.5,812766.3125,812714.0,813017.875,813432.0,813943.3125,814363.0,814291.875,814310.4375,814356.375,814383.9375,814466.125,814567.375
Daytona Beach - FL,615672.75,618574.25,622068.8125,625563.75,629075.8125,632509.5625,635379.375,638230.25,641001.375,643758.4375,646130.125,648451.1875,650767.375,653060.4375,655271.9375,657458.6875,659609.375,661787.875,664246.8125,666656.375,668921.0,671804.0,675629.5,679359.625,683169.6875,687342.0,691905.0625,696704.6875,701463.1875,706423.0,710540.125,714569.8125,718316.0,721796.0,723085.875,724064.6875,724812.625,725587.875,726553.3125,727705.5
Denver - CO,2794175.0,2808216.0,2818510.0,2828813.0,2839203.0,2849247.0,2857516.0,2865705.0,2873544.0,2881326.0,2890785.0,2900021.0,2909239.0,2918358.0,2925247.0,2932031.0,2938659.0,2945417.0,2951908.0,2958184.0,2963821.0,2970119.0,2971833.0,2973134.0,2974789.0,2978016.0,2979168.0,2981342.0,2983340.0,2986190.0,2990527.0,2995269.0,3000368.0,3005131.0,3013666.0,3022330.0,3029832.0,3036749.0,3043768.0,3050747.0
Des Moines - IA,622683.25,625220.0,628170.25,631124.0,634098.5,636997.3125,639630.9375,642248.125,644787.875,647316.125,649682.125,651999.5625,654314.375,656608.0,658904.0,661177.1875,663416.375,665685.75,667754.25,669775.5,671653.0,673390.0,675703.9375,677923.0,680222.5,682882.0,684795.0,686942.6875,689049.6875,691354.0,693234.375,695208.5,697265.9375,699245.0,700853.1875,702495.625,704116.375,705803.5,707598.5625,709448.125
Detroit - MI,4357681.0,4359137.0,4362723.0,4366333.0,4370087.0,4373319.0,4376901.0,4380369.0,4383309.0,4386172.0,4388601.0,4390700.0,4392781.0,4394722.0,4395396.0,4395917.0,4396213.0,4396708.0,4395683.0,4394335.0,4392041.0,4385248.0,4380874.0,4375891.0,4371433.0,4369283.0,4362815.0,4357848.0,4352621.0,4348636.0,4346474.0,4344901.0,4343847.0,4342304.0,4345996.0,4350390.0,4353385.0,4356041.0,4358573.0,4361001.0
Durham - NC,548040.6875,550058.625,552476.0625,554895.875,557332.875,559702.5625,561370.75,563023.6875,564608.0625,566181.8125,568996.8125,571768.3125,574536.5,577285.1875,578944.875,580584.125,582192.6875,583827.25,585592.25,587314.8125,588911.0,585020.0,587671.375,590240.125,592878.5,595831.0,597401.1875,599176.0625,600915.5625,602827.0,604259.5,605773.6875,607360.5,608879.0,611070.3125,613197.3125,615254.25,617383.3125,619351.1875,621165.6875
East Bay - CA,2767132.0,2778322.0,2786369.0,2794435.0,2802595.0,2810423.0,2815647.0,2820801.0,2825615.0,2830381.0,2834166.0,2837739.0,2841301.0,2844773.0,2846330.0,2847789.0,2849103.0,2850546.0,2850134.0,2849513.0,2848280.0,2846535.0,2836650.0,2826374.0,2816438.0,2807988.0,2801472.0,2795920.0,2790201.0,2785278.0,2782891.0,2780882.0,2779204.0,2777213.0,2781885.0,2787697.0,2793833.0,2800140.0,2806571.0,2812902.0
El Paso - TX,847924.0625,848007.3125,849423.5,850845.5,852296.0625,853646.1875,854847.75,856027.75,857105.3125,858168.25,858670.875,859109.0,859543.5,859950.3125,860996.0,862012.6875,862985.75,863998.75,865721.0,867382.375,868859.0,869802.0,869968.875,870014.6875,870164.4375,870774.0,870483.5625,870492.375,870449.5,870655.0,871558.875,872404.0,873003.1875,873331.0,874916.0,876166.625,877363.5625,878568.3125,879765.6875,880944.6875
Fayetteville - NC,382435.5,382293.625,382731.6875,383171.28125,383622.71875,384027.8125,383673.5,383309.21875,382898.8125,382481.8125,383144.90625,383778.40625,384409.6875,385027.8125,385487.40625,385933.09375,386358.5,386800.8125,386850.40625,386871.78125,386810.0,387706.0,388512.3125,389264.1875,390062.40625,391067.0,390801.3125,390669.8125,390515.1875,390472.0,390885.90625,391352.8125,391866.40625,392336.0,392703.3125,393031.40625,393342.28125,393679.8125,394005.8125,394329.3125
Flint - MI,412355.71875,411756.59375,411376.90625,410999.375,410635.09375,410221.8125,409909.09375,409585.375,409212.3125,408832.0,408591.8125,408320.90625,408048.3125,407762.59375,407527.40625,407278.1875,407008.09375,406756.59375,406623.5,406460.90625,406211.0,405777.0,405454.09375,405074.8125,404744.0,404627.0,403830.09375,403172.09375,402490.21875,401923.0,401769.1875,401669.90625,401618.59375,401522.0,400870.0,400281.90625,399728.21875,399181.875,398675.6875,398195.0
Fort Lauderdale - FL,1875992.0,1881544.0,1888156.0,1894774.0,1901450.0,1907896.0,1913103.0,1918258.0,1923178.0,1928062.0,1930706.0,1933205.0,1935694.0,1938119.0,1939468.0,1940749.0,1941930.0,1943199.0,1943824.0,1944309.0,1944375.0,1943398.0,1941273.0,1938877.0,1936715.0,1935575.0,1937823.0,1940737.0,1943535.0,1946889.0,1951552.0,1955970.0,1959611.0,1962531.0,1967574.0,1972679.0,1977656.0,1982527.0,1987241.0,1991793.0
Fort Myers - FL,684747.0,689663.5,694747.8125,699825.3125,704915.0,709909.625,713658.625,717381.0,721008.625,724614.9375,727397.0,730118.125,732829.5625,735510.9375,738984.3125,742424.3125,745817.6875,749236.875,753196.5,757094.75,760822.0,765547.0,771814.8125,777973.0625,784222.4375,790888.0,798524.75,806433.6875,814295.25,822390.9375,825754.8125,829016.125,831948.1875,834573.125,835865.8125,836798.1875,837462.8125,838158.0625,839271.4375,840798.125
Fort Wayne - IN,430741.40625,431381.1875,431966.40625,432554.09375,433155.90625,433706.09375,434463.40625,435209.5,435903.1875,436589.375,437593.8125,438565.71875,439536.0,440492.40625,441542.3125,442577.21875,443589.59375,444622.5,445728.21875,446802.40625,447781.0,448587.0,449347.6875,450045.59375,450797.09375,451787.0,452334.59375,453037.40625,453713.28125,454519.0,455289.09375,456120.78125,457007.125,457842.0,458440.875,458990.28125,459484.09375,459954.40625,460392.21875,460796.28125
Fresno - CA,972092.3125,974439.0,976426.875,978420.5625,980446.4375,982355.5625,984712.8125,987044.9375,989258.4375,991454.6875,993304.0625,995079.5,996851.0625,998590.875,1000374.0,1002122.0,1003819.0,1005563.0,1006713.0,1007792.0,1008654.0,1009552.0,1010351.0,1011010.0,1011789.0,1013103.0,1013364.0,1013972.0,1014521.0,1015359.0,1015674.0,1016128.0,1016702.0,1017162.0,1016913.0,1017077.0,1017355.0,1017692.0,1018322.0,1019162.0
Grand Rapids - MI,1042387.9375,1044696.0625,1047333.0,1049976.0,1052653.0,1055205.0,1057796.0,1060359.0,1062794.0,1065211.0,1067304.0,1069317.0,1071325.0,1073300.0,1074657.0,1075978.0,1077243.0,1078558.0,1080238.0,1081840.0,1083211.0,1084632.0,1085306.0,1085828.0,1086480.0,1087706.0,1088066.0,1088800.0,1089469.0,1090449.0,1091863.0,1093425.0,1095118.0,1096688.0,1098944.0,1101380.0,1103915.0,1106476.0,1109027.0,1111523.0
Greensboro - NC,751977.1875,753154.125,754977.625,756805.125,758656.8125,760417.75,761341.375,762244.875,763056.1875,763854.0,765028.375,766145.3125,767258.8125,768347.4375,769661.0,770947.875,772194.875,773476.9375,774599.3125,775666.0,776566.0,774941.0,775852.875,776656.625,777552.6875,778860.0,780066.25,781540.125,782967.5625,784619.0,785820.0,787127.375,788529.125,789842.0,791192.3125,792453.4375,793618.5,794870.8125,795985.6875,796974.0
Greenville - SC,870509.875,873489.375,876380.3125,879275.0625,882197.8125,885014.0,887749.0625,890460.375,893063.4375,895649.5,898492.1875,901266.75,904036.625,906776.5,910097.6875,913386.4375,916627.0,919908.0625,922781.125,925587.6875,928195.0,930762.0,933356.0625,935819.5,938393.9375,941465.0,945545.25,949949.25,954296.8125,958918.0,962930.1875,967072.375,971330.625,975480.0,977767.0,979653.875,981174.0,982856.0,984653.8125,986495.0
Gulfport-Biloxi-Pascagoula - MS,387525.78125,388096.5,388622.59375,389150.375,389690.625,390183.8125,390963.1875,391732.0,392453.0,393166.6875,393677.1875,394158.0,394636.6875,395102.5,395543.21875,395970.09375,396376.1875,396800.1875,397223.21875,397617.40625,397926.0,398305.0,398681.21875,399001.71875,399369.8125,399949.0,400195.1875,400578.78125,400938.59375,401413.0,401796.21875,402233.875,402719.59375,403160.0,403389.8125,403648.09375,403902.40625,404146.78125,404402.09375,404652.0
Harrisburg - PA,569958.375,571079.75,572051.25,573026.6875,574021.125,574947.5625,576055.9375,577149.75,578174.6875,579190.125,580317.5,581402.25,582485.0,583549.9375,584614.3125,585659.125,586674.5,587717.25,589118.3125,590478.0625,591712.0,592793.0,594475.8125,596075.3125,597745.4375,599732.0,600452.25,601378.5,602269.25,603332.0,603932.3125,604614.375,605368.6875,606055.0,606288.8125,606651.1875,607162.75,607737.125,608327.0625,608909.9375
Hartford - CT,1219979.0,1219651.0,1219029.0,1218414.0,1217837.0,1217115.0,1217017.0,1216887.0,1216610.0,1216311.0,1216424.0,1216446.0,1216463.0,1216441.0,1216129.0,1215776.0,1215360.0,1215000.0,1214656.0,1214224.0,1213531.0,1203427.0,1205881.0,1208166.0,1210595.0,1213664.0,1213842.0,1214437.0,1214960.0,1215829.0,1216381.0,1217097.0,1217958.0,1218683.0,1216885.0,1215152.0,1213729.0,1212405.0,1211266.0,1210955.0
Honolulu - HI,1017323.0,1019526.0,1021110.0,1022700.0,1024324.0,1025827.0,1025592.0625,1025326.0625,1024933.0,1024517.9375,1024286.0,1023974.0,1023653.0,1023297.0,1022545.0,1021754.0,1020906.0,1020100.0,1019031.0,1017882.0,1016508.0,1012399.0,1010252.0,1007964.0,1005798.0,1004163.0,1001529.0,999240.5,996892.25,994828.0,993340.5625,991988.25,990754.0,989408.0,989256.6875,989228.8125,989275.0,989459.125,989651.9375,989784.9375
Houston - TX,6633345.0,6675452.0,6708644.0,6741863.0,6775294.0,6807907.0,6830872.0,6853654.0,6875603.0,6897422.0,6916046.0,6934147.0,6952214.0,6970052.0,6991321.0,7012343.0,7032998.0,7053965.0,7077572.0,7100670.0,7122240.0,7141190.0,7159597.0,7177002.0,7195259.0,7217323.0,7246354.0,7277867.0,7308948.0,7342124.0,7378911.0,7415213.0,7449431.0,7481317.0,7513271.0,7542356.0,7571188.0,7599973.0,7628614.0,7657122.0
Huntsville - AL,450035.71875,451360.5,452919.40625,454482.3125,456061.5,457587.71875,459502.5,461407.40625,463258.40625,465103.0,467282.8125,469429.90625,471577.09375,473711.3125,476054.0,478382.5,480688.6875,483019.0,485974.90625,488899.8125,491723.0,494706.0,496979.625,499183.1875,501445.8125,503974.0,506447.125,509093.59375,511709.90625,514473.03125,517599.1875,520795.28125,524054.03125,527254.0,528817.875,530346.125,531826.5,533366.0,534944.875,536502.3125
Indianapolis - IN,1997286.0,2001567.0,2007290.0,2013026.0,2018830.0,2024395.0,2030342.0,2036238.0,2041891.0,2047509.0,2054262.0,2060863.0,2067458.0,2073988.0,2079449.0,2084841.125,2090127.0,2095510.0,2100935.0,2106213.0,2111040.0,2114042.0,2117641.0,2120945.0,2124500.0,2129180.0,2131904.0,2135360.0,2138689.0,2142630.0,2146881.0,2151423.0,2156222.0,2160779.0,2165694.0,2170470.0,2175108.0,2179746.0,2184315.0,2188790.0
Inland Empire - CA,4421886.0,4431096.0,4441487.0,4451891.0,4462427.0,4472417.0,4484076.0,4495605.0,4506578.0,4517457.0,4526978.0,4536148.0,4545288.0,4554269.0,4560510.0,4566584.0,4572416.0,4578447.0,4586135.0,4593484.0,4599839.0,4606384.0,4616006.0,4624982.0,4634508.0,4646486.0,4650759.0,4656629.0,4662223.0,4669149.0,4673252.0,4677989.0,4683284.0,4688053.0,4691907.0,4697676.0,4703979.0,4710560.0,4718328.0,4726901.0
Jackson - MS,581036.625,581212.25,581735.4375,582261.75,582806.6875,583282.125,583256.25,583214.8125,583103.0625,582981.0625,582610.4375,582195.9375,581779.125,581343.625,580833.6875,580303.75,579744.1875,579211.1875,577869.6875,576485.75,574978.0,574040.0,573136.4375,572153.3125,571238.75,570626.0,569557.0,568683.875,567777.0,567032.0,566941.6875,566928.3125,566982.5,566973.0,566974.4375,567025.8125,567176.0,567358.0,567565.5,567771.1875
Jacksonville - FL,1451446.0,1459061.0,1467629.0,1476210.0,1484845.0,1493307.0,1501282.0,1509224.0,1516988.0,1524729.0,1532330.0,1539820.0,1547308.0,1554750.0,1562103.0,1569406.0,1576632.0,1583934.0,1591423.0,1598805.0,1605848.0,1612981.0,1620029.0,1626850.0,1633863.0,1641741.0,1649894.0,1658612.0,1667231.0,1676329.0,1686207.0,1695877.0,1704874.0,1713240.0,1720292.0,1726687.0,1732571.0,1738401.0,1744138.0,1749749.0
